Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,8.17,8.32,7.15,7.47,7.47,399600,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-05,7.68,7.69,7.11,7.3,7.3,193100,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-08,7.39,7.6,7.0,7.13,7.13,303700,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-09,7.2,7.554,6.9,7.1,7.1,316900,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-10,7.17,8.29,7.15,7.96,7.96,224000,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-11,8.05,8.44,7.83,7.89,7.89,299700,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-12,8.09,8.45,7.93,8.31,8.31,174300,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-15,8.43,9.708,8.38,9.47,9.47,758400,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-16,9.4,9.67,8.57,9.19,9.19,292100,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-17,9.04,9.385,8.66,9.27,9.27,148300,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-18,9.09,9.75,8.642,8.72,8.72,313200,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-19,9.0,9.34,8.6,8.86,8.86,384600,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-22,9.0,9.55,8.84,9.19,9.19,108000,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-23,9.03,9.163,8.42,8.65,8.65,160800,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-24,9.5,9.5,7.9,8.15,8.15,1532600,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-25,7.9,8.2,7.65,8.07,8.07,214400,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-26,8.11,8.175,7.5,7.79,7.79,176300,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-29,7.9,8.145,7.8,8.02,8.02,105500,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-30,7.87,8.18,7.7,7.97,7.97,115700,UGRO,urban-gro Inc,식품 및 담배,,,
2021-03-31,8.18,8.5,8.0,8.43,8.43,173200,UGRO,urban-gro Inc,식품 및 담배,0.8503909788725839,,
2021-04-01,8.5,8.64,8.202,8.5,8.5,161800,UGRO,urban-gro Inc,식품 및 담배,0.1845083987667362,,
2021-04-05,8.56,8.57,8.01,8.09,8.09,110800,UGRO,urban-gro Inc,식품 및 담배,-6.191222340638635,,
2021-04-06,8.09,8.38,7.9,8.03,8.03,58500,UGRO,urban-gro Inc,식품 및 담배,-7.027540272925592,,
2021-04-07,8.16,8.337,7.9,8.04,8.04,88600,UGRO,urban-gro Inc,식품 및 담배,-7.351648868138638,,
2021-04-08,8.27,8.5,8.055,8.46,8.46,84400,UGRO,urban-gro Inc,식품 및 담배,-2.9744376394538086,,
2021-04-09,8.67,8.675,8.25,8.47,8.47,67600,UGRO,urban-gro Inc,식품 및 담배,-3.713797575186406,,
2021-04-12,8.49,8.49,7.94,8.25,8.25,65400,UGRO,urban-gro Inc,식품 및 담배,-5.956223618810563,,
2021-04-13,8.4,9.6,8.4,8.51,8.51,418600,UGRO,urban-gro Inc,식품 및 담배,-2.551455752199705,,
2021-04-14,8.55,9.1,8.45,8.65,8.65,178100,UGRO,urban-gro Inc,식품 및 담배,-0.015459198108513927,,
2021-04-15,8.66,8.947,8.13,8.25,8.25,146600,UGRO,urban-gro Inc,식품 및 담배,-4.8818403679630755,,
2021-04-16,8.13,8.61,7.884,8.39,8.39,169200,UGRO,urban-gro Inc,식품 및 담배,-3.0971590582309028,,
2021-04-19,8.41,8.9,7.96,8.37,8.37,134000,UGRO,urban-gro Inc,식품 및 담배,-2.2126738643523547,,
2021-04-20,8.38,8.69,7.62,7.9,7.9,133600,UGRO,urban-gro Inc,식품 및 담배,-6.108923795623767,,
2021-04-21,7.61,8.28,7.51,8.0,8.0,140200,UGRO,urban-gro Inc,식품 및 담배,-5.109046039855636,,
2021-04-22,8.33,8.33,7.808,8.02,8.02,111500,UGRO,urban-gro Inc,식품 및 담배,-3.615250590844399,,
2021-04-23,8.02,8.2,7.83,8.0,8.0,83100,UGRO,urban-gro Inc,식품 및 담배,-4.538256879986291,,
2021-04-26,8.1,8.4,8.02,8.25,8.25,62500,UGRO,urban-gro Inc,식품 및 담배,-1.755011411289198,,
2021-04-27,8.13,8.33,8.025,8.28,8.28,42900,UGRO,urban-gro Inc,식품 및 담배,-1.2733829819672304,,
2021-04-28,8.3,8.4,8.18,8.31,8.31,46900,UGRO,urban-gro Inc,식품 및 담배,-0.7653553565795446,,
2021-04-29,8.39,8.4,8.12,8.15,8.15,73200,UGRO,urban-gro Inc,식품 및 담배,-2.8768932812739623,,
2021-04-30,8.06,8.33,7.79,7.91,7.91,66400,UGRO,urban-gro Inc,식품 및 담배,-4.520315213779469,,
2021-05-03,7.94,8.5,7.9,8.36,8.36,136700,UGRO,urban-gro Inc,식품 및 담배,0.6093251444628134,,
2021-05-04,8.35,8.35,8.05,8.09,8.09,42400,UGRO,urban-gro Inc,식품 및 담배,-1.914847484844906,,
2021-05-05,7.99,8.28,7.99,8.08,8.08,51700,UGRO,urban-gro Inc,식품 및 담배,-2.0261940360825736,,
2021-05-06,8.03,8.15,7.8,7.99,7.99,109000,UGRO,urban-gro Inc,식품 및 담배,-3.5042801354814856,,
2021-05-07,7.96,8.165,7.905,8.08,8.08,77000,UGRO,urban-gro Inc,식품 및 담배,-2.7802142948102238,,
2021-05-10,8.0,8.07,7.54,7.64,7.64,130900,UGRO,urban-gro Inc,식품 및 담배,-6.6903788006024145,,
2021-05-11,7.54,8.25,7.32,8.18,8.18,164100,UGRO,urban-gro Inc,식품 및 담배,0.9976986760314999,,
2021-05-12,7.54,8.299,7.54,7.69,7.69,151700,UGRO,urban-gro Inc,식품 및 담배,-2.4598495172884705,,
2021-05-13,7.87,8.18,6.75,7.08,7.08,310400,UGRO,urban-gro Inc,식품 및 담배,-10.686510710058561,,
2021-05-14,7.1,7.66,7.089,7.51,7.51,105400,UGRO,urban-gro Inc,식품 및 담배,-6.154975607664492,,
2021-05-17,7.62,8.02,7.612,7.91,7.91,76200,UGRO,urban-gro Inc,식품 및 담배,-0.6194686523625648,,
2021-05-18,7.99,8.01,7.76,7.83,7.83,29300,UGRO,urban-gro Inc,식품 및 담배,-0.7440123940261834,,
2021-05-19,7.66,7.772,7.42,7.55,7.55,75200,UGRO,urban-gro Inc,식품 및 담배,-3.803363132098725,,
2021-05-20,7.61,8.143,7.61,7.87,7.87,68700,UGRO,urban-gro Inc,식품 및 담배,-0.6501939424974013,,
2021-05-21,7.98,8.44,7.79,8.17,8.17,242800,UGRO,urban-gro Inc,식품 및 담배,3.076891144070837,,
2021-05-24,8.24,8.86,8.18,8.47,8.47,183400,UGRO,urban-gro Inc,식품 및 담배,5.680137698117016,,
2021-05-25,8.53,8.97,8.53,8.8,8.8,123000,UGRO,urban-gro Inc,식품 및 담배,9.676753996812405,,
2021-05-26,8.95,9.26,8.655,9.24,9.24,200400,UGRO,urban-gro Inc,식품 및 담배,14.301767516169273,,
2021-05-27,9.34,9.46,8.69,9.39,9.39,133400,UGRO,urban-gro Inc,식품 및 담배,15.12559756539571,,
2021-05-28,9.47,10.0,9.34,9.95,9.95,181300,UGRO,urban-gro Inc,식품 및 담배,20.424900872537034,,
2021-06-01,9.99,10.06,9.367,9.61,9.61,229900,UGRO,urban-gro Inc,식품 및 담배,15.506088119897266,,
2021-06-02,9.56,10.2,9.35,9.94,9.94,180500,UGRO,urban-gro Inc,식품 및 담배,18.0491018992075,,
2021-06-03,9.88,10.15,9.61,9.86,9.86,129300,UGRO,urban-gro Inc,식품 및 담배,16.325412556221373,,
2021-06-04,9.97,10.2,9.97,10.14,10.14,116800,UGRO,urban-gro Inc,식품 및 담배,17.145346831288943,,
2021-06-07,10.195,10.45,10.124,10.42,10.42,292800,UGRO,urban-gro Inc,식품 및 담배,18.860254272315835,,
2021-06-08,10.45,10.5,9.95,9.95,9.95,120000,UGRO,urban-gro Inc,식품 및 담배,12.048408798362576,,
2021-06-09,10.08,10.44,9.593,10.05,10.05,233200,UGRO,urban-gro Inc,식품 및 담배,12.28109114688609,,
2021-06-10,10.2,10.2,9.7,9.9,9.9,104600,UGRO,urban-gro Inc,식품 및 담배,8.956169595932394,,
2021-06-11,9.715,10.27,9.52,10.02,10.02,68700,UGRO,urban-gro Inc,식품 및 담배,8.449646232220754,,
2021-06-14,10.15,10.15,9.62,9.72,9.72,66100,UGRO,urban-gro Inc,식품 및 담배,3.854275788428896,,
2021-06-15,9.74,10.09,9.53,9.96,9.96,91100,UGRO,urban-gro Inc,식품 및 담배,5.564088183552318,,
2021-06-16,10.06,10.06,8.95,9.37,9.37,221300,UGRO,urban-gro Inc,식품 및 담배,-0.8683604773968012,,
