Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,44.400002,44.950001,43.59,44.689999,44.689999,480600,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-07,44.389999,44.48,42.869999,43.810001,43.810001,819100,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-08,44.150002,47.25,43.099998,43.740002,43.740002,1004200,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-09,48.279999,49.400002,45.439999,45.939999,45.939999,3128100,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-12,45.75,46.07,44.09,45.48,45.48,1154400,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-13,45.75,46.299999,44.09,45.66,45.66,551600,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-14,45.869999,45.869999,43.549999,43.689999,43.689999,882300,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-15,43.830002,44.52,43.619999,43.98,43.98,572400,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-16,44.040001,45.060001,43.59,44.43,44.43,740700,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-19,44.32,44.799999,43.959999,44.380001,44.380001,466100,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-20,44.619999,44.810001,43.189999,43.209999,43.209999,438400,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-21,43.189999,43.75,42.900002,43.119999,43.119999,462300,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-22,42.880001,43.279999,42.580002,42.59,42.59,467600,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-23,42.77,42.77,41.529999,41.549999,41.549999,622700,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,,,,,
2018-03-26,41.98,42.639999,40.880001,42.18,42.18,920200,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,1.9657142142857142,0.3204947064133251,,-1.501265567632465,
2018-03-27,42.389999,43.119999,41.98,42.650002,42.650002,565600,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,1.9171427142857145,0.2451575443485507,,1.3350758162562486,
2018-03-28,42.700001,43.209999,42.330002,42.689999,42.689999,339600,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,1.6835709285714289,0.02375724082735173,,0.1981420968225046,
2018-03-29,42.73,43.459999,42.73,42.939999,42.939999,523800,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,1.3342852142857144,0.18736623723574197,,-0.6249234524935591,
2018-04-02,42.779999,42.779999,41.490002,41.66,41.66,294400,UNFI,United Natural Foods Inc,식품 및 약품소매,,,,1.2964278571428578,-0.9873275963237469,,0.21378860686517087,
2018-04-03,41.900002,42.709999,41.900002,42.549999,42.549999,478300,UNFI,United Natural Foods Inc,식품 및 약품소매,0.6568199715391021,,,1.2135707142857157,0.733372179736423,,0.07061857381521452,
2018-04-04,42.209999,43.84,42.040001,43.52,43.52,381500,UNFI,United Natural Foods Inc,식품 및 약품소매,1.7508946649589685,,,1.1764277857142875,0.8245308481991109,,0.2457984295465433,
2018-04-05,43.73,44.080002,43.080002,43.529999,43.529999,320000,UNFI,United Natural Foods Inc,식품 및 약품소매,0.9929079403539154,,,1.1835705714285731,0.008448165442238571,,-0.33616259361262846,
2018-04-06,43.330002,44.279999,43.299999,43.540001,43.540001,439600,UNFI,United Natural Foods Inc,식품 및 약품소매,3.0419818918580477,,,1.1485705000000017,0.0087082159954483,,1.0309395846336247,
2018-04-09,43.66,44.189999,43.220001,43.240002,43.240002,330100,UNFI,United Natural Foods Inc,식품 및 약품소매,1.9725950193029362,,,1.1578560714285733,-0.2590986975003363,,-0.4128893876048193,
2018-04-10,43.669998,44.099998,43.119999,43.889999,43.889999,342000,UNFI,United Natural Foods Inc,식품 및 약품소매,1.7469889341440892,,,1.1121415714285732,0.5844552678352533,,-0.15354556946385567,
2018-04-11,43.66,44.450001,43.66,44.389999,44.389999,219900,UNFI,United Natural Foods Inc,식품 및 약품소매,3.3859218011607517,,,1.1078560714285735,0.45132216439925554,,0.7013434041496454,
2018-04-12,44.549999,44.810001,44.290001,44.43,44.43,167000,UNFI,United Natural Foods Inc,식품 및 약품소매,2.38414391748345,,,1.0949991428571455,0.03653062220270175,,-0.3526516205726029,
2018-04-13,44.52,44.52,43.900002,44.200001,44.200001,180400,UNFI,United Natural Foods Inc,식품 및 약품소매,1.9514101713552057,,,1.0507132142857165,-0.21889797984158277,0.13991563706926677,-0.07489932485230424,0.024240642561194087
2018-04-16,44.41,44.91,44.189999,44.529999,44.529999,422500,UNFI,United Natural Foods Inc,식품 및 약품소매,1.7353751707995135,,,0.9764277142857161,0.33796459806694334,0.14116348647309665,-0.08994474956716708,0.1250492724230011
2018-04-17,44.82,45.619999,44.490002,45.419998,45.419998,258100,UNFI,United Natural Foods Inc,식품 및 약품소매,2.5411338439059072,,,0.9757132857142875,0.9121521793653391,0.18880596040286726,0.307987496993401,0.0516858210470834
2018-04-18,45.639999,46.32,44.950001,45.029999,45.029999,412000,UNFI,United Natural Foods Inc,식품 및 약품소매,1.3530769004209242,,,1.01071342857143,-0.3858650622177231,0.15954722447107622,-0.4354058013226467,0.00643239975100116
2018-04-19,44.880001,44.880001,44.0,44.34,44.34,278200,UNFI,United Natural Foods Inc,식품 및 약품소매,0.2025209673648165,,,1.0292847857142868,-0.6703674333640893,0.09828053371394538,-0.31352851698461165,0.028674895144497402
2018-04-20,44.099998,44.470001,43.720001,43.900002,43.900002,305000,UNFI,United Natural Foods Inc,식품 및 약품소매,-0.03832574848002812,,,0.9792850000000008,-0.4493053605436644,0.1367106934125227,0.13086272319639153,0.022751617739584593
2018-04-23,44.099998,44.27,43.299999,43.720001,43.720001,345200,UNFI,United Natural Foods Inc,식품 및 약품소매,-0.5503840395413073,,,0.9735708571428577,-0.18488741592804744,0.07112072229363196,-0.1888092112570226,0.004221061662996227
2018-04-24,44.0,44.84,43.700001,44.700001,44.700001,256600,UNFI,United Natural Foods Inc,식품 및 약품소매,2.7143355017685167,,,0.9264280000000004,1.0578264042105772,0.08778469058016526,2.008868316439313,0.1301546250124798
2018-04-25,44.619999,45.200001,44.41,45.029999,45.029999,321600,UNFI,United Natural Foods Inc,식품 및 약품소매,3.0532769629150636,,,0.9114280714285721,0.3620669697859508,0.11304317660471615,0.2345133173246823,0.17091719007943054
2018-04-26,45.080002,45.810001,44.689999,45.5,45.5,335700,UNFI,United Natural Foods Inc,식품 및 약품소매,2.8445617054014383,,,0.9214282142857151,0.5100788023561282,0.1488553613447647,-0.274026738669665,0.0777053098434813
2018-04-27,45.490002,46.330002,45.490002,45.549999,45.549999,413600,UNFI,United Natural Foods Inc,식품 및 약품소매,2.5954440483416885,,,0.9121426428571441,0.054814891499191006,0.17127776055901664,-0.035383324508451476,0.10467002863607898
2018-04-30,45.77,45.98,44.970001,45.02,45.02,359100,UNFI,United Natural Foods Inc,식품 및 약품소매,1.9733453821156433,,,0.9142855000000009,-0.579686542114029,0.08812477413406793,0.1103339736339991,0.12351856742878291
2018-05-01,45.02,45.02,44.099998,44.689999,44.689999,225700,UNFI,United Natural Foods Inc,식품 및 약품소매,0.799595516296514,,,0.9235712857142866,-0.3573097227083899,0.03036535362637897,-0.5667510073635175,0.03294039517784269
2018-05-02,44.700001,45.169998,44.080002,44.68,44.68,294600,UNFI,United Natural Foods Inc,식품 및 약품소매,1.3578495774889898,,,0.9642852857142863,-0.010369337941928522,0.027015356473191095,0.5876599424642526,0.10010550682333237
2018-05-03,44.52,45.150002,43.93,44.41,44.41,271200,UNFI,United Natural Foods Inc,식품 및 약품소매,0.810025758888222,,,1.0071427142857148,-0.2680851444092433,0.02350198757550106,-0.08537808875982245,0.09935702368708108
2018-05-04,44.389999,45.490002,44.23,45.27,45.27,205500,UNFI,United Natural Foods Inc,식품 및 약품소매,1.3777784507805535,,,1.045714214285715,0.822404427759871,0.05810483255356732,-0.15905275608636826,0.09442073750713813
2018-05-07,45.310001,46.150002,45.060001,45.630001,45.630001,444400,UNFI,United Natural Foods Inc,식품 및 약품소매,1.672331511113856,,,1.0428573571428577,0.34520636742334604,0.017608703129139248,0.0679175118294269,0.07727288142399713
2018-05-08,45.450001,45.619999,44.299999,44.619999,44.619999,275600,UNFI,United Natural Foods Inc,식품 및 약품소매,-0.6050483263446149,,,1.0400004285714293,-0.9711553690293803,-0.02419774735740769,-0.9501097117175888,0.04050831639578697
2018-05-09,44.66,45.619999,44.41,45.450001,45.450001,242800,UNFI,United Natural Foods Inc,식품 및 약품소매,0.25906497940582085,,,1.0528575714285726,0.7883326506108608,0.07999511578366016,0.025669383227955644,0.06473673783954177
2018-05-10,45.619999,45.93,45.080002,45.130001,45.130001,216000,UNFI,United Natural Foods Inc,식품 및 약품소매,-1.3402848310217985,,,1.0600002857142867,-0.301886711081749,0.09052501931665412,-1.0550997798021364,-0.019974869517495934
2018-05-11,45.150002,45.580002,45.110001,45.139999,45.139999,161600,UNFI,United Natural Foods Inc,식품 및 약품소매,-1.459938557762308,,,1.0242860000000011,0.009760945673379358,0.10442847371675604,-0.1316284696607435,-0.015890530832047427
2018-05-14,45.360001,45.57,45.02,45.110001,45.110001,240800,UNFI,United Natural Foods Inc,식품 및 약품소매,-1.5812735539514122,,,0.9821432142857149,-0.03054340707513098,0.026687772910634032,-0.11266862496836408,-0.16742888378973864
2018-05-15,45.060001,46.400002,45.049999,45.91,45.91,227700,UNFI,United Natural Foods Inc,식품 및 약품소매,0.809328558467115,,,1.0221433571428575,0.7826681007214037,0.05673071083459495,1.4261524506523722,-0.08231180283776081
2018-05-16,46.080002,46.849998,46.060001,46.700001,46.700001,257300,UNFI,United Natural Foods Inc,식품 및 약품소매,1.9687267848593981,,,1.0092859285714293,0.7827326009768041,0.07620598216464322,0.38303394040536987,-0.035378897189544026
2018-05-17,46.77,47.720001,46.77,47.580002,47.580002,272500,UNFI,United Natural Foods Inc,식품 및 약품소매,3.662545986958432,,,1.022143071428572,0.8609372059530661,0.13378614748277715,0.9450337214117478,0.034650891804755925
