Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,36.619999,37.18,35.959999,36.98,36.98,5279600,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-07,37.73,38.279999,36.279999,37.07,37.07,6331800,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-08,37.130001,37.200001,34.939999,35.130001,35.130001,3465600,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-09,35.110001,35.91,35.009998,35.880001,35.880001,2237300,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-12,35.880001,36.25,34.860001,35.060001,35.060001,2082800,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-13,35.880001,35.880001,34.860001,35.459999,35.459999,2020000,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-14,35.669998,35.830002,34.779999,35.299999,35.299999,1520400,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-15,35.27,35.77,35.09,35.380001,35.380001,1593700,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-16,35.540001,36.380001,35.150002,35.93,35.93,1894900,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-19,35.700001,36.240002,35.299999,35.75,35.75,1332500,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-20,35.700001,36.650002,35.450001,36.380001,36.380001,1117400,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-21,36.389999,36.84,36.279999,36.529999,36.529999,709000,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-22,36.189999,36.700001,35.689999,36.009998,36.009998,1259100,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-23,36.130001,37.169998,35.779999,36.220001,36.220001,1697600,URBN,Urban Outfitters Inc,전문품 상점,,,,,,,,
2018-03-26,36.689999,37.830002,36.299999,37.790001,37.790001,2121600,URBN,Urban Outfitters Inc,전문품 상점,,,,1.2314294285714291,1.2749411079296171,,-0.5468191661161732,
2018-03-27,37.950001,37.990002,36.040001,36.139999,36.139999,2004500,URBN,Urban Outfitters Inc,전문품 상점,,,,1.227858071428572,-1.3438051501182633,,-0.25388687821056544,
2018-03-28,36.259998,37.48,35.630001,36.380001,36.380001,1837900,URBN,Urban Outfitters Inc,전문품 상점,,,,1.1985721428571432,0.2002399283433059,,0.3746247843384588,
2018-03-29,36.650002,37.23,36.0,36.959999,36.959999,1938700,URBN,Urban Outfitters Inc,전문품 상점,,,,1.2221434285714292,0.47457441282318763,,-0.3377152769061134,
2018-04-02,36.939999,37.209999,36.07,36.91,36.91,2475000,URBN,Urban Outfitters Inc,전문품 상점,,,,1.2042862857142862,-0.04151753664648882,,1.159598666542429,
