Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2022-03-01,9.84,9.85,9.83,9.85,9.85,300,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-02,9.78,9.78,9.78,9.78,9.78,200,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-03,9.85,9.87,9.85,9.86,9.86,25500,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-04,9.86,9.86,9.86,9.86,9.86,1400,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-07,9.86,9.86,9.86,9.86,9.86,0,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-08,9.86,9.86,9.86,9.86,9.86,0,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-09,9.87,9.87,9.87,9.87,9.87,25800,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-10,9.87,9.88,9.87,9.88,9.88,13900,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-11,9.88,9.88,9.88,9.88,9.88,47000,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-14,9.88,9.88,9.88,9.88,9.88,0,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-15,9.88,9.88,9.88,9.88,9.88,0,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-16,9.88,9.88,9.88,9.88,9.88,100,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-17,9.88,9.88,9.88,9.88,9.88,0,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-18,9.88,9.88,9.88,9.88,9.88,2000,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,,,,,
2022-03-21,9.88,9.9,9.88,9.89,9.89,112100,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,0.014285714285714362,0.6999999999999814,,0.7212124889130592,
2022-03-22,9.9,9.9,9.9,9.9,9.9,100,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,0.01000000000000004,0.9999999999999747,,0.43334632359485015,
2022-03-23,9.9,9.9,9.9,9.9,9.9,0,VBOC,Viscogliosi Brothers Acquisition Corp,기타 금융업,,,,0.003571428571428622,0.0,,0.629957836458594,
