Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-08-09,12.0,12.0,10.59,11.38,11.38,688500,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-10,10.62,11.5,10.28,11.5,11.5,135800,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-13,11.5,11.54,10.91,11.37,11.37,127900,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-14,11.72,11.72,11.2,11.5,11.5,50600,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-15,11.5,11.64,11.22,11.64,11.64,44300,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-16,11.69,11.69,11.21,11.49,11.49,41900,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-17,11.49,11.63,11.16,11.5,11.5,47000,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-20,11.6,11.6,11.01,11.32,11.32,17100,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-21,11.15,11.48,10.82,11.01,11.01,49500,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-22,11.09,11.32,10.99,11.0,11.0,19600,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-23,11.14,11.2,10.8,10.95,10.95,21300,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-24,10.99,11.2,10.2,10.38,10.38,19600,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-27,10.22,10.57,10.0,10.38,10.38,17600,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-28,10.3,11.18,9.05,9.21,9.21,81400,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-08-29,9.29,10.49,9.18,10.16,10.16,68900,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,0.7664285714285713,1.2395153774464112,,0.43645889549135186,,
2018-08-30,10.3,10.76,9.91,10.08,10.08,65900,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,0.7399999999999999,-0.10810810810810823,,0.5395971522758598,,
2018-08-31,9.8,10.97,9.8,9.99,9.99,22600,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,0.7785714285714285,-0.11559633027522918,,-0.1358166606255161,,
2018-09-04,10.05,10.73,10.05,10.35,10.35,61000,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,0.7942857142857142,0.4532374100719418,,0.706509433557825,,
2018-09-05,10.25,10.8,9.84,10.0,10.0,24500,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,,,,0.8328571428571427,-0.4202401372212689,,0.038768786042885583,,
2018-09-06,10.15,10.18,9.84,9.97,9.97,11100,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-7.7397926018788805,,,0.8228571428571428,-0.03645833333333256,,0.5781921256461284,,
2018-09-07,9.95,10.0,9.46,9.83,9.83,21700,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-8.142559365213186,,,0.8278571428571427,-0.16911130284728285,,0.2054592934313962,,
2018-09-10,9.67,10.18,8.83,10.05,10.05,10500,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-5.5475559953917735,,,0.882142857142857,0.24939271255060805,,-0.06368122576447774,,
2018-09-11,10.13,10.13,9.3,10.05,10.05,5300,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-5.195655563122303,,,0.8942857142857141,0.0,,-0.5947802021102618,,
2018-09-12,10.04,10.13,9.35,9.37,9.37,7400,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-10.661064148215772,,,0.9264285714285714,-0.7340015420200479,,-0.7900618509821055,,
2018-09-13,9.75,9.75,9.0,9.55,9.55,16700,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-8.36101920956983,,,0.9514285714285714,0.18918918918919075,,-0.6314925927915966,,
2018-09-14,9.5,9.8,8.9,9.0,9.0,9900,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-12.508369651537322,,,0.9442857142857143,-0.582450832072618,,-0.6266052602997495,,
2018-09-17,9.06,9.63,8.56,8.79,8.79,13800,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-12.850381493131913,,,0.9800000000000001,-0.21428571428571513,,0.6956835578106115,,
2018-09-18,8.62,10.05,8.56,10.05,10.05,12600,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-0.1727616411931976,,,0.9342857142857144,1.3486238532110106,0.07855044587896855,0.5167657829857932,0.06249980247629603,
2018-09-19,9.89,9.89,8.73,8.75,8.75,9400,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,-12.134117201690053,,,0.9350000000000002,-1.3903743315508026,-0.10929881904940386,-1.5937280977952575,-0.08251355418703321,
