Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2021-08-11,9.91,9.95,9.905,9.94,9.94,9522000,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-12,9.9,9.91,9.86,9.91,9.91,33700,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-13,9.9,9.93,9.9,9.93,9.93,3200,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-16,9.93,9.95,9.93,9.94,9.94,99900,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-17,9.9,9.94,9.88,9.94,9.94,465400,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-18,9.94,9.95,9.92,9.94,9.94,3300,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-19,9.93,9.94,9.93,9.94,9.94,51700,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-20,9.933,9.935,9.9,9.9,9.9,700,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-23,9.92,9.935,9.9,9.935,9.935,101900,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-24,9.931,9.932,9.92,9.92,9.92,40200,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-25,9.935,9.935,9.92,9.93,9.93,900,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-26,9.92,10.0,9.92,9.97,9.97,840400,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-27,10.08,10.184,9.98,9.99,9.99,258400,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-30,10.01,10.05,9.99,10.02,10.02,130000,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,,,,,
2021-08-31,10.03,10.04,10.0,10.005,10.005,49200,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,0.05207142857142826,-0.2880658436213777,,-0.10823172344039639,
2021-09-01,10.05,10.05,9.99,10.0,10.0,175700,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,0.050642857142856865,-0.09873060648802726,,-0.14117864220047968,
2021-09-02,10.05,10.05,10.0,10.01,10.01,30600,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,0.05207142857142839,0.19204389574759603,,-0.18372319924396066,
2021-09-03,10.05,10.05,10.0,10.02,10.02,17000,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,0.05421428571428561,0.18445322793148522,,0.231049925932369,
2021-09-07,10.05,10.071,10.02,10.03,10.03,25800,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,,,,0.05357142857142857,0.1866666666666627,,0.703407872957649,
2021-09-08,10.08,10.08,9.992,10.01,10.01,27200,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,-0.22383236843718235,,,0.057714285714285704,-0.3465346534653392,,-0.13167865219231928,
2021-09-09,10.1,10.1,9.91,9.99,9.99,595700,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,0.06952561267077328,,,0.07057142857142853,-0.2834008097165933,,0.49213859956592065,
2021-09-10,10.08,10.08,9.987,10.0,10.0,6000,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,0.900901963196632,,,0.07435714285714289,0.1344860710854918,,1.3503115614835632,
2021-09-13,10.08,10.139,9.98,9.985,9.985,21300,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,0.49371570402148013,,,0.08321428571428566,-0.18025751072962068,,-0.536715480862498,
2021-09-14,9.99,10.0,9.99,10.0,10.0,10100,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,1.1540294045963462,,,0.08321428571428566,0.18025751072962068,,1.0056443118478464,
2021-09-15,10.1,10.1,9.98,9.984,9.984,25200,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,0.15808115798037203,,,0.09071428571428555,-0.17637795275590598,,-1.3025976458243491,
2021-09-16,9.99,10.02,9.99,9.995,9.995,8700,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,0.48022857706104816,,,0.08757142857142838,0.12561174551385773,,0.3271078208014242,
2021-09-17,10.08,10.09,9.99,9.996,9.996,16700,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,1.4170036603596392,,,0.0794285714285713,0.012589928057569363,,1.187799861599216,
2021-09-20,10.06,10.06,9.98,9.986,9.986,5400,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,2.920273116873906,,,0.08085714285714271,-0.12367491166077497,-0.03435237447895397,1.6784976954921897,0.3265594504225839
2021-09-21,10.011,10.011,9.991,9.995,9.995,5400,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,2.9173833093888657,,,0.0797857142857141,0.1128021486123368,-0.005718946462260076,0.19326127972194268,0.34809466493417957
2021-09-22,10.06,10.06,9.982,9.99,9.99,13800,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,1.7556124801008544,,,0.08107142857142843,-0.061674008810560524,-0.0030720466281553096,-0.9363591157477591,0.29129605968080247
2021-09-23,10.0,10.0,9.97,9.99,9.99,3600,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,0.4526119067680856,,,0.0796428571428569,0.0,-0.016789467752983598,-1.0496406264125069,0.22944481488304916
2021-09-24,10.07,10.07,9.96,9.96,9.96,7600,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,-0.0063932564454805,,,0.0839285714285711,-0.35744680851063204,-0.05549661321313483,-0.4831129231559772,0.17843318280531015
2021-09-27,9.96,10.041,9.96,10.01,10.01,4600,VCXAU,10X Capital Venture Acquisition II Units,기타 금융업,0.6908349312782613,,,0.0860714285714282,0.5809128630705296,-0.02733617061285862,0.8205042500367111,0.18679720973952887
