Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,5.94,6.18,5.73,6.06,6.06,110100,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-07,6.0,6.323,5.96,6.25,6.25,100200,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-08,6.26,6.41,6.1,6.17,6.17,102200,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-09,6.21,6.63,6.21,6.45,6.45,145300,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-12,6.51,6.84,6.49,6.59,6.59,135200,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-13,6.51,6.84,6.34,6.39,6.39,128600,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-14,6.41,6.44,6.21,6.24,6.24,81000,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-15,6.25,6.32,6.17,6.28,6.28,56000,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-16,6.25,6.4,6.17,6.19,6.19,154000,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-19,6.18,6.22,6.02,6.16,6.16,79700,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-20,6.16,6.33,6.09,6.24,6.24,51800,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-21,6.23,6.31,6.05,6.15,6.15,59300,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-22,6.08,6.19,5.841,5.85,5.85,48200,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-23,5.84,5.899,5.631,5.69,5.69,94000,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,,,,,
2018-03-26,5.79,5.79,5.645,5.7,5.7,82200,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,0.29250000000000015,0.03418803418803344,,-1.787572239857757,
2018-03-27,5.72,5.83,5.53,5.56,5.56,54000,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,0.28800000000000014,-0.4861111111111128,,0.603807160796585,
2018-03-28,5.57,5.6,5.38,5.57,5.57,41900,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,0.28157142857142864,0.03551496702181873,,0.2098998230169716,
2018-03-29,5.6,5.74,5.43,5.56,5.56,83700,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,0.27085714285714296,-0.03691983122363117,,-0.8492095209529322,
2018-04-02,5.55,5.57,5.32,5.39,5.39,42100,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,,,,0.260857142857143,-0.6516976998904703,,0.5494185032984474,
2018-04-03,5.39,5.96,5.36,5.76,5.76,309300,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,-1.2417360921535003,,,0.2680000000000001,1.3805970149253728,,0.7178434090041643,
2018-04-04,5.66,5.89,5.64,5.82,5.82,48300,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,-1.3082614449404062,,,0.2694285714285715,0.22269353128314068,,-0.35603888736942696,
2018-04-05,5.85,5.88,5.7,5.74,5.74,64500,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,-3.0315561543592495,,,0.27157142857142863,-0.29458179905313014,,-0.6391925581079971,
2018-04-06,5.7,6.07,5.52,5.59,5.59,35500,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,-3.2176221546124983,,,0.2944285714285715,-0.5094614264919953,,0.512769942146181,
2018-04-09,5.64,5.68,5.38,5.39,5.39,50100,VCYT,Veracyte Inc,생명과학 및 메디컬 리서치,-6.459105444436908,,,0.3015714285714286,-0.6631927996210332,,-0.8169834897255162,
