Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,13.007189,13.438189,12.994323,13.399592,8.570876,1913465,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-07,13.315965,13.483218,13.270935,13.341696,8.533846,1323367,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-08,13.37386,13.515383,13.309532,13.50895,8.640829,1027230,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-09,13.586144,13.669771,13.521815,13.624741,8.714891,1259010,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-12,13.663338,13.785562,13.41889,13.46392,8.612026,1010441,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-13,13.470353,13.50895,13.315965,13.37386,8.55442,1007177,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-14,13.438189,13.579711,13.399592,13.41889,8.583223,1227764,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-15,13.380293,13.46392,13.187308,13.219472,8.455666,1236314,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-16,13.219472,13.258069,13.090816,13.174442,8.426864,2545379,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-19,12.865666,12.891398,12.73701,12.878532,8.401688,1240200,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-20,12.878532,13.026487,12.878532,12.955726,8.452044,1093608,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-21,12.910696,13.045786,12.839935,12.897831,8.414275,1407467,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-22,12.865666,13.155144,12.865666,12.98789,8.473027,1209576,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-23,13.013622,13.116547,12.801338,12.801338,8.351324,1151748,VGR,Vector Group Ltd,식품 및 담배,,,,,,,,
2018-03-26,12.884965,12.923562,12.775607,12.884965,8.405881,1037024,VGR,Vector Group Ltd,식품 및 담배,,,,0.23801485714285736,0.35135201644074965,,-1.4704082576050408,
2018-03-27,12.936428,13.116547,12.859234,12.98789,8.473027,919502,VGR,Vector Group Ltd,식품 및 담배,,,,0.24123128571428584,0.4266652216989181,,1.5165834936066158,
2018-03-28,13.03292,13.187308,13.020054,13.129413,8.565352,1112884,VGR,Vector Group Ltd,식품 및 담배,,,,0.2407717857142859,0.5877889702904766,,0.7621738262856295,
2018-03-29,13.187308,13.232338,13.090816,13.116547,8.55696,1188901,VGR,Vector Group Ltd,식품 및 담배,,,,0.2393932857142859,-0.05374419738469361,,-0.8660338871139946,
2018-04-02,13.148711,13.200174,12.865666,12.910696,8.422668,984481,VGR,Vector Group Ltd,식품 및 담배,,,,0.23709585714285733,-0.8682184601646984,,0.3328977430242194,
2018-04-03,12.968592,13.071517,12.897831,13.020054,8.494012,754877,VGR,Vector Group Ltd,식품 및 담배,1.9296454450109968,,,0.2357173571428573,0.4639369850635289,,-0.1988166208576796,
2018-04-04,12.955726,13.251636,12.929995,13.219472,8.624106,855921,VGR,Vector Group Ltd,식품 및 담배,2.2166457329912292,,,0.24398807142857162,0.8173268423836859,,0.23859442373111828,
2018-04-05,13.245204,13.245204,13.039353,13.180875,8.598926,1047439,VGR,Vector Group Ltd,식품 및 담배,1.1644277534857528,,,0.23893371428571442,-0.16153852592709222,,-0.5061492849819593,
2018-04-06,13.161577,13.296666,13.071517,13.135845,8.569551,917014,VGR,Vector Group Ltd,식품 및 담배,2.9610610877649934,,,0.24306914285714296,-0.18525592952975395,,0.8369754391084223,
2018-04-09,13.187308,13.225905,13.058651,13.065084,8.523389,584346,VGR,Vector Group Ltd,식품 및 담배,1.9510993219465256,,,0.2237707142857143,-0.31622100428052585,,-0.4700116943850089,
2018-04-10,13.148711,13.148711,13.020054,13.07795,8.53178,734669,VGR,Vector Group Ltd,식품 및 담배,0.28623780367560414,,,0.22239228571428576,0.057852726135151473,,-0.6801481111639575,
2018-04-11,13.065084,13.187308,13.045786,13.148711,8.577945,707153,VGR,Vector Group Ltd,식품 및 담배,1.2445255094978291,,,0.21779735714285728,0.3248937495306131,,0.574914989281003,
2018-04-12,13.187308,13.232338,13.039353,13.045786,8.510795,485945,VGR,Vector Group Ltd,식품 및 담배,-0.38680113723814635,,,0.2109050000000001,-0.4880159313434996,,-0.8771981741188042,
2018-04-13,13.071517,13.174442,13.020054,13.148711,8.577945,524652,VGR,Vector Group Ltd,식품 및 담배,0.5483649036680749,,,0.19941778571428578,0.5161274839720955,0.10521071049178254,0.6601261389613741,-0.010464284016290182
2018-04-16,13.155144,13.322398,13.155144,13.309532,8.68286,649170,VGR,Vector Group Ltd,식품 및 담배,0.7721411852239735,,,0.20125578571428576,0.799087586124411,0.13719182261204407,0.37117823849030057,0.12107760856194849
2018-04-17,13.322398,13.380293,13.277368,13.335263,8.699648,769179,VGR,Vector Group Ltd,식품 및 담배,-0.28032317078088287,,,0.19022807142857154,0.13526394820051735,0.11637744593358687,-0.46890073417142075,-0.020742693422196982
2018-04-18,13.277368,13.341696,12.884965,12.910696,8.422668,1699251,VGR,Vector Group Ltd,식품 및 담배,-3.533422836488509,,,0.20860757142857164,-2.0352425230422364,-0.07098194644732121,-2.08478326214716,-0.2240967711673962
2018-04-19,12.865666,12.910696,12.576189,12.775607,8.334537,1658989,VGR,Vector Group Ltd,식품 및 담배,-3.9811996249329074,,,0.2223922142857145,-0.6074358332816708,-0.11053134901139101,-0.25059691690219316,-0.18013698758083896
2018-04-20,12.775607,12.807771,12.479696,12.505428,8.158279,1688059,VGR,Vector Group Ltd,식품 및 담배,-4.982014554855551,,,0.22193271428571443,-1.2173915002552274,-0.13547228044642878,-0.6372234165151714,-0.24943135611936684
2018-04-23,12.518293,12.589055,12.158055,12.273846,8.0072,2227323,VGR,Vector Group Ltd,식품 및 담배,-6.415081205209583,,,0.24031228571428592,-0.963671080368042,-0.23744428512011242,-0.9675928756970172,-0.30434394575074813
2018-04-24,12.267413,12.55689,12.190219,12.531159,8.175066,1450838,VGR,Vector Group Ltd,식품 및 담배,-3.0683571206552296,,,0.2435287142857144,1.056602301517978,-0.2203531808962344,2.0076442137467136,-0.17798324646391991
2018-04-25,12.511861,12.717711,12.479696,12.659816,8.258998,1003446,VGR,Vector Group Ltd,식품 및 담배,-2.078382622939079,,,0.24582614285714297,0.523365816607899,-0.17143144214373504,0.39581216414663056,-0.11355742866902062
2018-04-26,12.717711,12.717711,12.582622,12.634084,8.242212,1606291,VGR,Vector Group Ltd,식품 및 담배,-2.9867010498537794,,,0.23939328571428575,-0.1074883947693947,-0.16587661823228084,-0.8915939357951879,-0.23702666973356418
2018-04-27,12.653383,12.711278,12.582622,12.614786,8.229622,945462,VGR,Vector Group Ltd,식품 및 담배,-3.0023301652246315,,,0.23663628571428572,-0.08155131383062496,-0.14911449748585934,-0.17174952983826744,-0.21572222940879696
2018-04-30,12.653383,12.704846,12.537592,12.544025,8.183458,750680,VGR,Vector Group Ltd,식품 및 담배,-2.4865214846365724,,,0.23939321428571425,-0.2955848193572779,-0.17436003644960427,0.39443569639075027,-0.13896624315488926
2018-05-01,12.511861,12.634084,12.466831,12.608353,8.225426,512993,VGR,Vector Group Ltd,식품 및 담배,-2.002897190021702,,,0.24123114285714273,0.26666540330613453,-0.17851920403706706,0.05722411865100693,-0.17594416248560327
2018-05-02,12.608353,12.672681,12.544025,12.576189,8.204441,645128,VGR,Vector Group Ltd,식품 및 담배,-1.3123385200525806,,,0.2366362142857142,-0.13592171467535857,-0.15336961713219985,0.4621075657308225,-0.08027946678205851
2018-05-03,12.589055,12.679114,12.550458,12.614786,8.229622,619478,VGR,Vector Group Ltd,식품 및 담배,-0.6286969468035197,,,0.23479821428571412,0.16438370333189314,-0.17849417289221428,0.34709075898131403,-0.1026391367806342
2018-05-04,12.576189,12.801338,12.576189,12.730577,8.305161,497603,VGR,Vector Group Ltd,식품 및 담배,-0.7137907297986912,,,0.23847407142857133,0.4855496419646692,-0.20088974033219584,-0.49590754188157005,-0.164573835378625
2018-05-07,12.78204,12.820637,12.698413,12.711278,8.292572,499624,VGR,Vector Group Ltd,식품 및 담배,-0.9553080984459172,,,0.23985257142857122,-0.0804619266120625,-0.21629873139023723,-0.35775078220598167,-0.1566345530953793
2018-05-08,12.73701,12.73701,12.621219,12.679114,8.271589,555276,VGR,Vector Group Ltd,식품 및 담배,-0.997218994674387,,,0.21549971428571396,-0.1492530981148131,-0.08158520103827845,-0.12820744080302168,-0.016879137285083737
2018-05-09,12.544025,12.730577,12.254547,12.363905,8.065952,1306734,VGR,Vector Group Ltd,식품 및 담배,-3.9901751647795525,,,0.22560849999999963,-1.3971503733236998,-0.13799338246985196,-2.159813640706605,-0.1532517604139703
2018-05-10,12.363905,12.498995,12.273846,12.338174,8.049167,855144,VGR,Vector Group Ltd,식품 및 담배,-4.714047085784512,,,0.21825664285714247,-0.1178933189073303,-0.0594577980878593,-0.8711063876277177,-0.16995768692200933
2018-05-11,12.286711,12.518293,12.267413,12.421801,8.103723,823276,VGR,Vector Group Ltd,식품 및 담배,-3.831205183883035,,,0.20539092857142816,0.4071601437398302,0.03845871791984586,0.26577072840570737,-0.08186028662895757
2018-05-14,12.466831,12.486129,12.318876,12.35104,8.057559,818768,VGR,Vector Group Ltd,식품 및 담배,-4.011122217802798,,,0.19114678571428545,-0.3701919429907139,-0.06345515668791783,-0.452317160883947,-0.25757181338829044
2018-05-15,12.344607,12.460398,12.293144,12.408935,8.095328,992098,VGR,Vector Group Ltd,식품 및 담배,-2.5340225301717867,,,0.18609242857142835,0.31110884222663715,-0.07861636914372226,0.9545931921576056,-0.21765888281607795
2018-05-16,12.402502,12.511861,12.293144,12.357473,8.061757,1221079,VGR,Vector Group Ltd,식품 및 담배,-3.0961082079229096,,,0.192065857142857,-0.267939345209711,-0.09007715131803058,-0.6676380057811453,-0.2016620306722178
2018-05-17,12.357473,12.415368,12.029398,12.113025,7.902285,1791901,VGR,Vector Group Ltd,식품 및 담배,-4.635745088946264,,,0.2104454285714285,-1.1615742934374587,-0.16722164986137583,-1.077477777978777,-0.266356905539397
2018-05-18,12.132323,12.312443,12.113025,12.26098,7.998806,1593699,VGR,Vector Group Ltd,식품 및 담배,-3.0458615348395446,,,0.21274285714285707,0.6954640075208149,-0.09643244794151207,0.9708297217346529,-0.22518590372911826
2018-05-21,12.318876,12.318876,12.222383,12.280279,8.011397,599114,VGR,Vector Group Ltd,식품 및 담배,-3.4985458367611466,,,0.20768857142857136,0.09292278273789141,-0.108842635124958,-0.6855894976742277,-0.27824401918092073
