Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,19.799999,19.950001,19.6,19.950001,19.950001,387800,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-13,19.799999,20.200001,19.6,20.200001,20.200001,534200,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-14,20.299999,20.299999,19.65,19.700001,19.700001,453400,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-15,19.450001,19.450001,17.5,17.52,17.52,831900,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-16,16.85,16.85,16.15,16.6,16.6,5045400,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-19,16.700001,17.1,16.48,17.049999,17.049999,1174100,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-20,16.950001,17.1,16.700001,16.9,16.9,661200,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-21,17.0,17.15,16.85,16.950001,16.950001,971400,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-22,16.799999,17.6,16.799999,16.950001,16.950001,1183500,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-23,16.950001,17.700001,16.85,16.85,16.85,643500,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-26,17.1,17.35,16.950001,17.1,17.1,695700,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-27,17.1,17.200001,16.6,16.65,16.65,558000,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-28,16.700001,17.049999,16.450001,16.6,16.6,569000,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-03-29,16.75,17.200001,16.73,16.85,16.85,918600,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2018-04-02,16.700001,16.700001,16.049999,16.25,16.25,503200,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,0.7778573571428572,-0.7713496497659384,,0.4297665534229793,,
2018-04-03,16.4,16.549999,16.0,16.450001,16.450001,371800,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,0.7742857857142857,0.25830385070997725,,-0.4044497552112312,,
2018-04-04,16.1,16.950001,16.1,16.950001,16.950001,367500,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,0.7885716428571428,0.634057798716178,,0.05532538006361032,,
2018-04-05,17.0,17.0,16.35,16.5,16.5,319900,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,0.6778572857142855,-0.663858026584189,,-1.0084687856390562,,
2018-04-06,16.5,16.65,16.200001,16.299999,16.299999,358800,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,,0.6121429285714282,-0.3267227156682953,,0.6955086529698811,,
2018-04-09,16.299999,16.5,15.35,15.4,15.4,1401500,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-8.36537596224549,,,0.650000071428571,-1.3846136939984952,,-1.5384043841029782,,
2018-04-10,15.5,15.6,14.4,15.15,15.15,1866500,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-10.313639769869143,,,0.7071429999999994,-0.3535352821140847,,-1.0915361194131936,,
2018-04-11,15.1,15.35,14.95,15.1,15.1,700800,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-8.974913358884596,,,0.7142858571428568,-0.06999998600000383,,0.18002125375038602,,
2018-04-12,15.1,15.1,14.58,14.95,14.95,1131900,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-9.497224726284404,,,0.6942857857142852,-0.2160493604887496,,-0.6052316032640542,,
2018-04-13,15.15,16.049999,14.85,15.1,15.1,702000,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-7.809748535085648,,,0.7192856428571425,0.20854023917976616,,0.3525388941690447,,
2018-04-16,15.2,15.3,15.05,15.05,15.05,360100,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-8.548780816178825,,,0.7014284999999996,-0.07128310298198458,,-0.499192450616095,,
2018-04-17,15.05,15.35,15.05,15.25,15.25,387700,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-7.823616538479927,,,0.6799998571428567,0.2941177088482573,,-0.3100469735236808,,
2018-04-18,15.35,15.45,15.1,15.25,15.25,314900,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-7.453504984325066,,,0.6621428571428567,0.0,,-0.04954073910492361,,
2018-04-19,15.15,15.28,14.7,14.75,14.75,393900,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-9.396490596751894,,,0.660714214285714,-0.7567568385683072,-0.22993921847970494,-0.39991792218882954,-0.29954485704915296,
2018-04-20,14.7,14.95,14.65,14.85,14.85,519900,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-7.345423889900548,,,0.6249998571428567,0.1600000365714365,-0.16341424088417814,0.7401681203114924,-0.2773733165571163,
2018-04-23,14.8,14.95,14.5,14.95,14.95,419100,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-6.013092355552718,,,0.6178570714285708,0.16184972969360994,-0.17030382095677582,0.1579279343646348,-0.23720348158741156,
2018-04-24,15.0,15.0,14.5,14.6,14.6,356200,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-6.268147759861864,,,0.5928569999999995,-0.5903615880389368,-0.2577623485821412,0.3606803241897991,-0.21539241414982666,
2018-04-25,14.55,14.8,14.38,14.55,14.55,311900,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-6.07710171915703,,,0.5764284285714282,-0.08674103760620332,-0.21653970651228502,-0.21429469006747182,-0.15866569303757064,
2018-04-26,14.6,14.85,14.55,14.65,14.65,413300,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-5.701885322243905,,,0.565714214285714,0.17676769908683015,-0.1805761054583475,-0.607337841938963,-0.2517261569596309,
