Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,30.700001,31.799999,30.209999,31.799999,31.799999,90300,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-07,31.65,32.299999,31.4,31.700001,31.700001,65800,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-08,31.9,32.0,31.450001,31.65,31.65,49800,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-09,31.799999,32.049999,28.6,30.299999,30.299999,432300,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-12,30.35,31.15,29.85,30.950001,30.950001,106500,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-13,31.1,31.700001,30.98,31.35,31.35,59800,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-14,31.5,31.6,30.799999,31.049999,31.049999,52900,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-15,31.200001,31.549999,30.51,30.9,30.9,54900,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-16,30.950001,31.799999,30.66,31.35,31.35,174100,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-19,31.299999,31.799999,31.0,31.65,31.65,86200,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-20,31.9,32.599998,31.9,32.299999,32.299999,101000,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-21,32.400002,33.450001,32.400002,33.200001,33.200001,88500,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-22,32.900002,33.240002,31.85,32.099998,32.099998,103200,VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
