Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-04-19,10.15,10.65,10.1,10.3,10.3,14300,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-20,10.15,10.4,10.15,10.322,10.322,6000,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-21,10.29,10.448,10.12,10.14,10.14,9500,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-22,10.16,10.24,10.06,10.14,10.14,38800,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-23,10.2,10.21,9.97,10.12,10.12,110000,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-26,10.12,10.12,10.01,10.09,10.09,16300,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-27,10.09,10.12,10.06,10.07,10.07,37800,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-28,10.17,10.23,10.14,10.21,10.21,10600,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-29,10.25,10.27,10.15,10.27,10.27,8200,WBX,Wallbox NV,전기 유틸리티,,,
2021-04-30,10.2,10.29,10.17,10.29,10.29,8800,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-03,10.32,10.35,10.149,10.159,10.159,25600,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-04,10.1,10.42,10.01,10.14,10.14,68100,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-05,10.1,10.15,10.05,10.1,10.1,8500,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-06,10.0,10.1,9.96,10.03,10.03,106900,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-07,10.088,10.088,9.96,10.0,10.0,54500,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-10,10.0,10.11,9.98,10.03,10.03,25600,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-11,10.03,10.15,10.03,10.06,10.06,31000,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-12,10.05,10.078,10.05,10.06,10.06,21500,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-13,10.1,10.1,10.0,10.05,10.05,8600,WBX,Wallbox NV,전기 유틸리티,,,
2021-05-14,10.1,10.1,9.93,10.0,10.0,8400,WBX,Wallbox NV,전기 유틸리티,-1.3892679799836882,,
2021-05-17,10.08,10.08,9.9,9.93,9.93,24800,WBX,Wallbox NV,전기 유틸리티,-1.651261876359389,,
2021-05-18,9.99,10.05,9.88,9.973,9.973,123400,WBX,Wallbox NV,전기 유틸리티,-0.21176364248538526,,
2021-05-19,9.99,10.013,9.98,9.99,9.99,31100,WBX,Wallbox NV,전기 유틸리티,0.2583084241584155,,
2021-05-20,9.99,10.07,9.95,9.95,9.95,172000,WBX,Wallbox NV,전기 유틸리티,-1.0636581251697752,,
2021-05-21,10.01,10.05,9.84,9.901,9.901,333300,WBX,Wallbox NV,전기 유틸리티,-1.3950789603753955,,
2021-05-24,9.92,10.004,9.85,9.94,9.94,649400,WBX,Wallbox NV,전기 유틸리티,-1.8946479073675415,,
2021-05-25,9.86,9.97,9.86,9.95,9.95,1800,WBX,Wallbox NV,전기 유틸리티,-1.5267045807357715,,
2021-05-26,9.909,9.96,9.89,9.96,9.96,27800,WBX,Wallbox NV,전기 유틸리티,-1.4755206771966956,,
2021-05-27,9.9,9.94,9.82,9.94,9.94,18500,WBX,Wallbox NV,전기 유틸리티,-1.6400036251229877,,
2021-05-28,10.0,10.0,9.85,9.86,9.86,15600,WBX,Wallbox NV,전기 유틸리티,-2.2715591170780702,,
2021-06-01,10.0,10.0,9.9,9.95,9.95,71500,WBX,Wallbox NV,전기 유틸리티,-1.2174388941235792,,
2021-06-02,9.98,10.02,9.95,9.97,9.97,6200,WBX,Wallbox NV,전기 유틸리티,-1.0265814076400037,,
2021-06-03,9.96,10.05,9.95,10.02,10.02,14900,WBX,Wallbox NV,전기 유틸리티,-0.0976837875537373,,
2021-06-04,10.292,10.292,10.02,10.05,10.05,13800,WBX,Wallbox NV,전기 유틸리티,-0.6527009152850538,,
2021-06-07,10.1,10.14,10.03,10.07,10.07,22800,WBX,Wallbox NV,전기 유틸리티,-0.41717802608852717,,
2021-06-08,10.12,10.3,10.12,10.2,10.2,15500,WBX,Wallbox NV,전기 유틸리티,0.8123652568768902,,
2021-06-09,10.42,10.542,9.9,10.0,10.0,2794500,WBX,Wallbox NV,전기 유틸리티,-0.8741101802242413,,
2021-06-10,10.05,10.07,9.95,9.98,9.98,595700,WBX,Wallbox NV,전기 유틸리티,-1.2791036788939558,,
2021-06-11,10.03,10.05,9.97,9.99,9.99,243900,WBX,Wallbox NV,전기 유틸리티,-1.1822300902343374,,
2021-06-14,10.04,10.04,9.95,9.95,9.95,304400,WBX,Wallbox NV,전기 유틸리티,-1.6373611999892623,,
2021-06-15,9.95,9.999,9.95,9.99,9.99,120500,WBX,Wallbox NV,전기 유틸리티,-0.974845532587032,,
2021-06-16,10.0,10.0,9.95,9.97,9.97,150200,WBX,Wallbox NV,전기 유틸리티,-0.5212114504775545,,
2021-06-17,9.95,10.0,9.94,9.96,9.96,168200,WBX,Wallbox NV,전기 유틸리티,-0.43468549125351696,,
2021-06-18,9.99,9.99,9.93,9.95,9.95,129000,WBX,Wallbox NV,전기 유틸리티,0.797092431811075,,
2021-06-21,9.94,9.959,9.92,9.94,9.94,163500,WBX,Wallbox NV,전기 유틸리티,-0.632557655471655,,
2021-06-22,9.96,9.97,9.92,9.97,9.97,204000,WBX,Wallbox NV,전기 유틸리티,-0.7978913374827368,,
2021-06-23,9.95,9.95,9.93,9.95,9.95,76900,WBX,Wallbox NV,전기 유틸리티,-0.8265018309874361,,
2021-06-24,9.96,9.96,9.92,9.94,9.94,76600,WBX,Wallbox NV,전기 유틸리티,-1.407070166465163,,
2021-06-25,9.95,9.969,9.94,9.94,9.94,76800,WBX,Wallbox NV,전기 유틸리티,-1.6425303088289933,,
2021-06-28,9.98,9.986,9.93,9.96,9.96,315900,WBX,Wallbox NV,전기 유틸리티,-1.622298700218705,,
2021-06-29,9.94,10.0,9.94,9.96,9.96,266900,WBX,Wallbox NV,전기 유틸리티,-1.5511255554302106,,
2021-06-30,9.94,9.99,9.94,9.95,9.95,172200,WBX,Wallbox NV,전기 유틸리티,-1.6679395423581767,,
2021-07-01,10.0,10.0,9.95,9.95,9.95,125200,WBX,Wallbox NV,전기 유틸리티,-1.9986915017012996,,
