Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,1.65,1.7151,1.5201,1.57,1.57,380600,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-05,1.56,1.5836,1.3127,1.54,1.54,280000,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-08,1.57,1.64,1.52,1.59,1.59,107600,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-09,1.61,1.72,1.6,1.66,1.66,298300,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-10,1.7,1.78,1.69,1.76,1.76,302200,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-11,1.76,1.82,1.74,1.77,1.77,237800,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-12,1.8,1.88,1.7736,1.86,1.86,110100,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-15,1.85,1.95,1.83,1.94,1.94,198100,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-16,1.98,1.98,1.9,1.91,1.91,174100,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-17,1.9,1.925,1.82,1.85,1.85,124900,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-18,1.82,2.09,1.82,1.97,1.97,397400,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-19,2.19,2.19,1.99,2.07,2.07,424300,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-22,2.11,2.18,2.03,2.04,2.04,180100,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-23,2.03,2.03,1.91,1.95,1.95,108600,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-24,1.97,2.0,1.75,1.78,1.78,184900,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-25,1.77,1.97,1.74,1.97,1.97,132000,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-26,1.98,2.0198,1.8701,1.91,1.91,67800,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-29,1.93,1.99,1.87,1.88,1.88,62800,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-30,1.92,1.9547,1.83,1.84,1.84,24000,XELB,Xcel Brands Inc,미디어 및 출판,,,
2021-03-31,1.86,2.0,1.86,1.99,1.99,68600,XELB,Xcel Brands Inc,미디어 및 출판,6.569557064281195,,
2021-04-01,2.0,2.0,1.92,1.93,1.93,38600,XELB,Xcel Brands Inc,미디어 및 출판,1.463083876735749,,
2021-04-05,2.12,4.15,2.12,2.98,2.98,129139100,XELB,Xcel Brands Inc,미디어 및 출판,49.230985811684945,,
2021-04-06,2.8323,2.85,2.52,2.8,2.8,4929700,XELB,Xcel Brands Inc,미디어 및 출판,36.57168539845132,,
2021-04-07,2.69,2.695,2.31,2.41,2.41,1077800,XELB,Xcel Brands Inc,미디어 및 출판,15.512742837434157,,
2021-04-08,2.36,2.45,2.23,2.23,2.23,461700,XELB,Xcel Brands Inc,미디어 및 출판,5.478324549391411,,
2021-04-09,2.27,2.4778,2.26,2.29,2.29,534000,XELB,Xcel Brands Inc,미디어 및 출판,6.400604141841892,,
2021-04-12,2.23,2.28,2.035,2.05,2.05,275600,XELB,Xcel Brands Inc,미디어 및 출판,-4.959122079707656,,
2021-04-13,2.0,2.39,2.0,2.25,2.25,519200,XELB,Xcel Brands Inc,미디어 및 출판,3.4314804530546805,,
2021-04-14,2.13,2.22,1.96,1.96,1.96,351400,XELB,Xcel Brands Inc,미디어 및 출판,-9.471246796618404,,
2021-04-15,2.0,2.09,1.95,2.0,2.0,425500,XELB,Xcel Brands Inc,미디어 및 출판,-8.75948025807749,,
2021-04-16,2.0,2.015,1.7098,1.74,1.74,450100,XELB,Xcel Brands Inc,미디어 및 출판,-20.24299508932903,,
2021-04-19,1.7,1.7399,1.61,1.65,1.65,170200,XELB,Xcel Brands Inc,미디어 및 출판,-22.98475600672427,,
2021-04-20,1.71,1.79,1.68,1.7,1.7,256800,XELB,Xcel Brands Inc,미디어 및 출판,-19.271691750701414,,
2021-04-21,1.67,1.87,1.66,1.77,1.77,517400,XELB,Xcel Brands Inc,미디어 및 출판,-16.108614674490983,,
2021-04-22,1.76,1.76,1.6393,1.64,1.64,235500,XELB,Xcel Brands Inc,미디어 및 출판,-21.070812092064283,,
2021-04-23,1.61,1.641,1.55,1.56,1.56,224800,XELB,Xcel Brands Inc,미디어 및 출판,-24.75402528521997,,
2021-04-26,1.57,1.79,1.57,1.78,1.78,334000,XELB,Xcel Brands Inc,미디어 및 출판,-13.812960993891943,,
2021-04-27,1.76,1.79,1.7,1.78,1.78,322000,XELB,Xcel Brands Inc,미디어 및 출판,-13.370516773761466,,
2021-04-28,1.76,1.91,1.76,1.88,1.88,201600,XELB,Xcel Brands Inc,미디어 및 출판,-8.28238228221111,,
2021-04-29,1.91,1.93,1.8301,1.92,1.92,128900,XELB,Xcel Brands Inc,미디어 및 출판,-6.530990406384706,,
2021-04-30,1.93,1.93,1.74,1.75,1.75,97000,XELB,Xcel Brands Inc,미디어 및 출판,-13.644452962166287,,
2021-05-03,1.75,1.82,1.75,1.76,1.76,90500,XELB,Xcel Brands Inc,미디어 및 출판,-10.518264935622524,,
2021-05-04,1.71,1.71,1.64,1.67,1.67,144000,XELB,Xcel Brands Inc,미디어 및 출판,-11.83281556663658,,
2021-05-05,1.69,1.8645,1.67,1.85,1.85,272300,XELB,Xcel Brands Inc,미디어 및 출판,-0.7975234812101162,,
2021-05-06,1.88,1.916,1.7,1.79,1.79,126200,XELB,Xcel Brands Inc,미디어 및 출판,-3.517453839354634,,
2021-05-07,1.76,2.05,1.7401,1.9,1.9,305100,XELB,Xcel Brands Inc,미디어 및 출판,2.8941026817828064,,
2021-05-10,1.9753,2.0399,1.75,1.77,1.77,205400,XELB,Xcel Brands Inc,미디어 및 출판,-2.306445842003335,,
2021-05-11,1.7,1.86,1.65,1.79,1.79,434100,XELB,Xcel Brands Inc,미디어 및 출판,0.9709501105081841,,
2021-05-12,1.79,1.82,1.76,1.79,1.79,121900,XELB,Xcel Brands Inc,미디어 및 출판,3.6043930566496574,,
2021-05-13,1.79,1.84,1.6715,1.82,1.82,95100,XELB,Xcel Brands Inc,미디어 및 출판,4.5288175667896,,
2021-05-14,1.82,1.97,1.82,1.91,1.91,149300,XELB,Xcel Brands Inc,미디어 및 출판,7.553369917450148,,
2021-05-17,1.91,2.1,1.9,1.99,1.99,427800,XELB,Xcel Brands Inc,미디어 및 출판,11.274580450421023,,
2021-05-18,1.93,2.1,1.9,2.08,2.08,157200,XELB,Xcel Brands Inc,미디어 및 출판,16.053100938175714,,
2021-05-19,2.08,2.42,2.05,2.35,2.35,345600,XELB,Xcel Brands Inc,미디어 및 출판,29.317556748793795,,
2021-05-20,2.3597,2.45,2.29,2.41,2.41,174000,XELB,Xcel Brands Inc,미디어 및 출판,28.572167066865628,,
2021-05-21,2.41,2.43,2.28,2.38,2.38,116800,XELB,Xcel Brands Inc,미디어 및 출판,24.319769765401112,,
2021-05-24,2.43,2.74,2.35,2.74,2.74,393300,XELB,Xcel Brands Inc,미디어 및 출판,38.30058523371789,,
2021-05-25,2.74,2.78,2.47,2.59,2.59,264400,XELB,Xcel Brands Inc,미디어 및 출판,28.37979996134039,,
2021-05-26,2.6,2.73,2.4901,2.6499,2.6499,66400,XELB,Xcel Brands Inc,미디어 및 출판,28.67059618458587,,
2021-05-27,2.73,2.77,2.62,2.77,2.77,227900,XELB,Xcel Brands Inc,미디어 및 출판,31.617323286333953,,
2021-05-28,2.7,2.94,2.62,2.81,2.81,142500,XELB,Xcel Brands Inc,미디어 및 출판,30.169471346649512,,
2021-06-01,2.78,2.8,2.49,2.54,2.54,248500,XELB,Xcel Brands Inc,미디어 및 출판,15.640379238232892,,
2021-06-02,2.54,2.59,2.36,2.515,2.515,193700,XELB,Xcel Brands Inc,미디어 및 출판,12.225613355689081,,
2021-06-03,2.42,2.49,2.36,2.44,2.44,63700,XELB,Xcel Brands Inc,미디어 및 출판,7.877310183833308,,
2021-06-04,2.44,2.46,2.31,2.39,2.39,68500,XELB,Xcel Brands Inc,미디어 및 출판,3.4091371440524654,,
2021-06-07,2.38,2.51,2.38,2.46,2.46,26800,XELB,Xcel Brands Inc,미디어 및 출판,5.240515845342308,,
2021-06-08,2.45,2.6,2.31,2.36,2.36,224200,XELB,Xcel Brands Inc,미디어 및 출판,-0.27852131302392724,,
2021-06-09,2.4,2.53,2.3107,2.47,2.47,97400,XELB,Xcel Brands Inc,미디어 및 출판,3.1392234811184583,,
2021-06-10,2.43,2.51,2.41,2.44,2.44,35600,XELB,Xcel Brands Inc,미디어 및 출판,0.2225221975069802,,
2021-06-11,2.54,2.55,2.34,2.39,2.39,104500,XELB,Xcel Brands Inc,미디어 및 출판,-3.036311726274954,,
2021-06-14,2.48,2.5477,2.25,2.31,2.31,229000,XELB,Xcel Brands Inc,미디어 및 출판,-7.133969700612852,,
2021-06-15,2.28,2.35,1.96,2.06,2.06,906500,XELB,Xcel Brands Inc,미디어 및 출판,-17.067888419067888,,
2021-06-16,2.13,2.26,2.04,2.25,2.25,301800,XELB,Xcel Brands Inc,미디어 및 출판,-9.151663306661462,,
2021-06-17,2.19,2.24,2.1,2.2,2.2,133400,XELB,Xcel Brands Inc,미디어 및 출판,-10.752124104329008,,
2021-06-18,2.14,2.2858,2.14,2.22,2.22,155400,XELB,Xcel Brands Inc,미디어 및 출판,-8.377283274586455,,
2021-06-21,2.21,2.3,2.15,2.29,2.29,101900,XELB,Xcel Brands Inc,미디어 및 출판,-6.547143523692645,,
2021-06-22,2.33,2.33,2.16,2.24,2.24,49200,XELB,Xcel Brands Inc,미디어 및 출판,-8.060259574280249,,
2021-06-23,2.24,2.3,2.18,2.26,2.26,43500,XELB,Xcel Brands Inc,미디어 및 출판,-6.440626707893415,,
2021-06-24,2.26,2.37,2.22,2.37,2.37,44300,XELB,Xcel Brands Inc,미디어 및 출판,-1.7980799355373667,,
2021-06-25,2.34,2.4,2.2501,2.36,2.36,186300,XELB,Xcel Brands Inc,미디어 및 출판,-1.5970135375251493,,
2021-06-28,2.36,2.3999,2.245,2.28,2.28,54800,XELB,Xcel Brands Inc,미디어 및 출판,-3.9782636761479417,,
2021-06-29,2.35,2.4,2.2527,2.4,2.4,86100,XELB,Xcel Brands Inc,미디어 및 출판,1.4624093212681766,,
2021-06-30,2.64,3.115,2.64,2.99,2.99,1871900,XELB,Xcel Brands Inc,미디어 및 출판,25.12403709581905,,
2021-07-01,2.85,2.99,2.53,2.66,2.66,518900,XELB,Xcel Brands Inc,미디어 및 출판,10.400536729271748,,
2021-07-02,2.64,2.94,2.55,2.75,2.75,445400,XELB,Xcel Brands Inc,미디어 및 출판,12.611691654845924,,
2021-07-06,2.8,3.25,2.71,2.74,2.74,570400,XELB,Xcel Brands Inc,미디어 및 출판,11.942872684817551,,
2021-07-07,2.79,2.815,2.6,2.77,2.77,119900,XELB,Xcel Brands Inc,미디어 및 출판,12.021227793548128,,
2021-07-08,2.6,2.96,2.5338,2.74,2.74,470800,XELB,Xcel Brands Inc,미디어 및 출판,11.286554163033525,,
2021-07-09,2.68,2.9799,2.6,2.61,2.61,458500,XELB,Xcel Brands Inc,미디어 및 출판,4.624817667841152,,
2021-07-12,2.66,2.83,2.564,2.71,2.71,339200,XELB,Xcel Brands Inc,미디어 및 출판,7.737302849501559,,
2021-07-13,2.72,2.74,2.545,2.68,2.68,163600,XELB,Xcel Brands Inc,미디어 및 출판,6.267586692710347,,
2021-07-14,2.67,2.67,2.26,2.26,2.26,261400,XELB,Xcel Brands Inc,미디어 및 출판,-10.734592674752818,,
2021-07-15,2.23,2.3,2.14,2.17,2.17,132100,XELB,Xcel Brands Inc,미디어 및 출판,-13.748057407282499,,
2021-07-16,2.19,2.3399,2.1001,2.12,2.12,153500,XELB,Xcel Brands Inc,미디어 및 출판,-14.86541720549387,,
2021-07-19,2.03,2.12,2.01,2.09,2.09,67600,XELB,Xcel Brands Inc,미디어 및 출판,-14.404072468265882,,
2021-07-20,2.09,2.26,2.0791,2.2,2.2,385300,XELB,Xcel Brands Inc,미디어 및 출판,-10.9875460535511,,
2021-07-21,2.25,2.3,2.2054,2.23,2.23,110400,XELB,Xcel Brands Inc,미디어 및 출판,-10.38684216048049,,
2021-07-22,2.27,2.2821,2.125,2.15,2.15,79100,XELB,Xcel Brands Inc,미디어 및 출판,-13.468534319842963,,
2021-07-23,2.3,2.36,2.1636,2.23,2.23,110000,XELB,Xcel Brands Inc,미디어 및 출판,-10.757788925631074,,
2021-07-26,2.23,2.376,2.2037,2.3135,2.3135,144200,XELB,Xcel Brands Inc,미디어 및 출판,-7.405996243673352,,
2021-07-27,2.26,2.275,2.12,2.17,2.17,136700,XELB,Xcel Brands Inc,미디어 및 출판,-12.440771531352246,,
2021-07-28,2.19,2.31,2.15,2.24,2.24,152500,XELB,Xcel Brands Inc,미디어 및 출판,-9.194745730465769,,
2021-07-29,2.24,2.3299,2.24,2.3,2.3,49100,XELB,Xcel Brands Inc,미디어 및 출판,-5.678232032828889,,
2021-07-30,2.29,2.4,2.2601,2.4,2.4,116000,XELB,Xcel Brands Inc,미디어 및 출판,-0.41329131354171933,,
2021-08-02,2.38,2.41,2.35,2.39,2.39,131900,XELB,Xcel Brands Inc,미디어 및 출판,0.1500567491848237,,
2021-08-03,2.4,2.42,2.33,2.37,2.37,111900,XELB,Xcel Brands Inc,미디어 및 출판,-0.6282995128761959,,
2021-08-04,2.37,2.4,2.25,2.25,2.25,59400,XELB,Xcel Brands Inc,미디어 및 출판,-4.113387179775108,,
2021-08-05,2.3,2.4,2.22,2.28,2.28,87300,XELB,Xcel Brands Inc,미디어 및 출판,-2.3211656549901094,,
2021-08-06,2.27,2.34,2.25,2.3,2.3,72100,XELB,Xcel Brands Inc,미디어 및 출판,-0.8872933502334757,,
2021-08-09,2.33,2.38,2.2713,2.36,2.36,38900,XELB,Xcel Brands Inc,미디어 및 출판,2.633926405978393,,
2021-08-10,2.3116,2.4,2.3116,2.37,2.37,40400,XELB,Xcel Brands Inc,미디어 및 출판,3.758700970959916,,
2021-08-11,2.4,2.4,2.3,2.38,2.38,124800,XELB,Xcel Brands Inc,미디어 및 출판,3.8711512399090875,,
2021-08-12,2.39,2.65,2.316,2.475,2.475,323200,XELB,Xcel Brands Inc,미디어 및 출판,6.978801124496337,,
2021-08-13,2.1,2.2,1.8,1.99,1.99,626200,XELB,Xcel Brands Inc,미디어 및 출판,-13.752414571840422,,
2021-08-16,1.9,1.94,1.75,1.77,1.77,150300,XELB,Xcel Brands Inc,미디어 및 출판,-22.77249465446982,,
2021-08-17,1.72,1.79,1.57,1.66,1.66,143900,XELB,Xcel Brands Inc,미디어 및 출판,-26.076536443780917,,
2021-08-18,1.67,1.73,1.6284,1.71,1.71,43800,XELB,Xcel Brands Inc,미디어 및 출판,-22.073153696739134,,
2021-08-19,1.67,1.7,1.56,1.57,1.57,57700,XELB,Xcel Brands Inc,미디어 및 출판,-27.555630821710754,,
2021-08-20,1.6,1.68,1.57,1.59,1.59,100600,XELB,Xcel Brands Inc,미디어 및 출판,-26.117619111765244,,
2021-08-23,1.57,1.7491,1.57,1.71,1.71,139900,XELB,Xcel Brands Inc,미디어 및 출판,-20.04642208922004,,
2021-08-24,1.72,1.79,1.7101,1.78,1.78,44800,XELB,Xcel Brands Inc,미디어 및 출판,-16.05161087885317,,
2021-08-25,1.79,1.8141,1.74,1.74,1.74,50400,XELB,Xcel Brands Inc,미디어 및 출판,-17.049083112670417,,
2021-08-26,1.74,1.78,1.71,1.74,1.74,18100,XELB,Xcel Brands Inc,미디어 및 출판,-15.373116452147217,,
2021-08-27,1.66,1.77,1.65,1.76,1.76,50800,XELB,Xcel Brands Inc,미디어 및 출판,-13.68647982791915,,
2021-08-30,1.79,1.885,1.7401,1.85,1.85,57000,XELB,Xcel Brands Inc,미디어 및 출판,-8.279697617867177,,
2021-08-31,1.87,1.9,1.8104,1.84,1.84,21600,XELB,Xcel Brands Inc,미디어 및 출판,-7.31010752886384,,
2021-09-01,1.85,1.865,1.82,1.82,1.82,18500,XELB,Xcel Brands Inc,미디어 및 출판,-7.196353827955471,,
2021-09-02,1.81,1.8499,1.785,1.79,1.79,30800,XELB,Xcel Brands Inc,미디어 및 출판,-7.704778600873885,,
2021-09-03,1.81,1.81,1.75,1.7799,1.7799,43500,XELB,Xcel Brands Inc,미디어 및 출판,-6.821765296191851,,
2021-09-07,1.76,1.7995,1.7257,1.73,1.73,33000,XELB,Xcel Brands Inc,미디어 및 출판,-7.481165863832762,,
2021-09-08,1.72,1.74,1.66,1.68,1.68,49700,XELB,Xcel Brands Inc,미디어 및 출판,-8.239785863045256,,
2021-09-09,1.65,1.7,1.63,1.65,1.65,67100,XELB,Xcel Brands Inc,미디어 및 출판,-7.54043975918669,,
2021-09-10,1.7,1.75,1.66,1.7,1.7,44800,XELB,Xcel Brands Inc,미디어 및 출판,-1.852955789308175,,
2021-09-13,1.73,1.73,1.66,1.68,1.68,35400,XELB,Xcel Brands Inc,미디어 및 출판,-2.355203535908257,,
2021-09-14,1.68,1.7,1.65,1.66,1.66,29600,XELB,Xcel Brands Inc,미디어 및 출판,-2.688312866159126,,
2021-09-15,1.67,1.74,1.61,1.72,1.72,225900,XELB,Xcel Brands Inc,미디어 및 출판,-0.15705421277123488,,
2021-09-16,1.74,1.75,1.63,1.72,1.72,39200,XELB,Xcel Brands Inc,미디어 및 출판,0.05202347429513754,,
2021-09-17,1.7,1.74,1.65,1.74,1.74,28100,XELB,Xcel Brands Inc,미디어 및 출판,1.667662523031832,,
2021-09-20,1.69,1.7,1.5701,1.64,1.64,45600,XELB,Xcel Brands Inc,미디어 및 출판,-2.751716869745846,,
2021-09-21,1.66,1.66,1.52,1.63,1.63,55400,XELB,Xcel Brands Inc,미디어 및 출판,-3.173731485283393,,
2021-09-22,1.63,1.6399,1.5901,1.61,1.61,14200,XELB,Xcel Brands Inc,미디어 및 출판,-4.88850673501422,,
2021-09-23,1.63,1.7,1.62,1.69,1.69,36600,XELB,Xcel Brands Inc,미디어 및 출판,-1.2680194792256128,,
2021-09-24,1.6318,1.6899,1.63,1.665,1.665,26700,XELB,Xcel Brands Inc,미디어 및 출판,-2.673592662524571,,
2021-09-27,1.68,1.7,1.6104,1.65,1.65,81400,XELB,Xcel Brands Inc,미디어 및 출판,-3.042785927810754,,
2021-09-28,1.65,1.6999,1.62,1.65,1.65,17900,XELB,Xcel Brands Inc,미디어 및 출판,-0.6457635535965678,,
2021-09-29,1.63,1.68,1.62,1.63,1.63,9400,XELB,Xcel Brands Inc,미디어 및 출판,-1.5789958013110228,,
2021-09-30,1.63,1.6319,1.43,1.49,1.49,147000,XELB,Xcel Brands Inc,미디어 및 출판,-8.267164366704872,,
2021-10-01,1.5,1.51,1.42,1.48,1.48,40300,XELB,Xcel Brands Inc,미디어 및 출판,-9.257931381335426,,
2021-10-04,1.47,1.5,1.46,1.47,1.47,42200,XELB,Xcel Brands Inc,미디어 및 출판,-8.063644670453119,,
2021-10-05,1.51,1.51,1.4101,1.45,1.45,36000,XELB,Xcel Brands Inc,미디어 및 출판,-9.662722378227873,2.054122,
2021-10-06,1.41,1.4645,1.22,1.34,1.34,145700,XELB,Xcel Brands Inc,미디어 및 출판,-16.118006074719393,2.052588666666667,-0.0007666666666665822
2021-10-07,1.31,1.385,1.31,1.31,1.31,48000,XELB,Xcel Brands Inc,미디어 및 출판,-17.891799750009795,2.0510553333333332,-0.0007666666666668043
2021-10-08,1.44,1.4451,1.2,1.29,1.29,60700,XELB,Xcel Brands Inc,미디어 및 출판,-18.000711359736098,2.0490553333333335,-0.0009999999999998899
2021-10-11,1.34,1.352,1.28,1.31,1.31,46400,XELB,Xcel Brands Inc,미디어 및 출판,-15.259978404022123,2.046722,-0.0011666666666667602
2021-10-12,1.28,1.3199,1.26,1.29,1.29,22100,XELB,Xcel Brands Inc,미디어 및 출판,-15.431725381538753,2.0435886666666665,-0.0015666666666667162
2021-10-13,1.3,1.319,1.28,1.3,1.3,28700,XELB,Xcel Brands Inc,미디어 및 출판,-13.978436116162118,2.0404553333333335,-0.0015666666666664941
2021-10-14,1.33,1.35,1.29,1.34,1.34,31300,XELB,Xcel Brands Inc,미디어 및 출판,-11.767676941905092,2.0369886666666663,-0.0017333333333335865
2021-10-15,1.33,1.33,1.29,1.29,1.29,37800,XELB,Xcel Brands Inc,미디어 및 출판,-14.38779655095541,2.0326553333333335,-0.002166666666666428
2021-10-18,1.3,1.44,1.2927,1.4,1.4,401700,XELB,Xcel Brands Inc,미디어 및 출판,-6.508184728171084,2.029255333333333,-0.0017000000000002569
2021-10-19,1.39,1.4194,1.3309,1.34,1.34,36700,XELB,Xcel Brands Inc,미디어 및 출판,-10.123323657759919,2.0258553333333333,-0.0016999999999998128
2021-10-20,1.36,1.43,1.3001,1.37,1.37,100700,XELB,Xcel Brands Inc,미디어 및 출판,-7.546169569888239,2.0218553333333333,-0.0020000000000000018
2021-10-21,1.35,1.4148,1.35,1.36,1.36,90300,XELB,Xcel Brands Inc,미디어 및 출판,-7.34719983069525,2.0171219999999996,-0.00236666666666685
2021-10-22,1.35,1.3638,1.31,1.32,1.32,78800,XELB,Xcel Brands Inc,미디어 및 출판,-8.798864713401278,2.012322,-0.0023999999999997357
2021-10-25,1.31,1.3699,1.31,1.33,1.33,27700,XELB,Xcel Brands Inc,미디어 및 출판,-7.377227143163257,2.0081886666666664,-0.002066666666666883
2021-10-26,1.34,1.5,1.33,1.35,1.35,273700,XELB,Xcel Brands Inc,미디어 및 출판,-4.88498247213448,2.005322,-0.0014333333333331755
