Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2019-09-19,XGN,Exagen Inc,헬스케어 업체 및 서비스,16.799999,18.23,15.6,17.110001,17.110001,918300.0,,,,,,,,,,,,,False
2019-09-20,XGN,Exagen Inc,헬스케어 업체 및 서비스,18.120001,19.5,17.0,17.0,17.0,183200.0,,,,,,,,,,,,,False
2019-09-23,XGN,Exagen Inc,헬스케어 업체 및 서비스,17.110001,18.49,17.08,17.5,17.5,93500.0,,,,,,,,,,,,,False
2019-09-24,XGN,Exagen Inc,헬스케어 업체 및 서비스,17.459999,17.638,16.0,16.790001,16.790001,73800.0,,,,,,,,,,,,,False
2019-09-25,XGN,Exagen Inc,헬스케어 업체 및 서비스,16.860001,16.860001,14.25,14.7,14.7,148800.0,,,,,,,,,,,,,False
2019-09-26,XGN,Exagen Inc,헬스케어 업체 및 서비스,14.74,14.77,14.5,14.58,14.58,45500.0,,,,,,,,,,,,,False
2019-09-27,XGN,Exagen Inc,헬스케어 업체 및 서비스,14.66,15.071,14.5,14.5,14.5,52100.0,,,,,,,,,,,,,False
2019-09-30,XGN,Exagen Inc,헬스케어 업체 및 서비스,14.5,15.49,14.5,15.49,15.49,24700.0,,,,,,,,,,,,,False
2019-10-01,XGN,Exagen Inc,헬스케어 업체 및 서비스,15.23,15.475,14.85,15.25,15.25,30400.0,,,,,,,,,,,,,False
2019-10-02,XGN,Exagen Inc,헬스케어 업체 및 서비스,15.2,15.406,14.37,14.8,14.8,30500.0,,,,,,,,,,,,,False
2019-10-03,XGN,Exagen Inc,헬스케어 업체 및 서비스,15.48,15.9,14.5,14.6,14.6,34400.0,,,,,,,,,,,,,False
2019-10-04,XGN,Exagen Inc,헬스케어 업체 및 서비스,14.51,14.78,14.5,14.55,14.55,15700.0,,,,,,,,,,,,,False
2019-10-07,XGN,Exagen Inc,헬스케어 업체 및 서비스,14.29,14.99,13.56,14.57,14.57,94600.0,,,,,,,,,,,,,False
2019-10-08,XGN,Exagen Inc,헬스케어 업체 및 서비스,14.31,14.4,13.27,13.75,13.75,58200.0,,,,,,,,,,,,,False
2019-10-09,XGN,Exagen Inc,헬스케어 업체 및 서비스,13.65,13.806,13.03,13.28,13.28,57700.0,,,,,,,1.2093572142857145,-0.38863620644756963,,-1.0626088303483732,,,False
2019-10-10,XGN,Exagen Inc,헬스케어 업체 및 서비스,13.08,13.39,12.16,13.02,13.02,245300.0,,,,,,,1.1186429285714288,-0.23242447912492928,,-0.7119862821645042,,,False
2019-10-11,XGN,Exagen Inc,헬스케어 업체 및 서비스,13.34,13.34,11.54,12.61,12.61,108900.0,,,,,,,1.140785785714286,-0.3594013925614306,,-1.1285401024289095,,,False
2019-10-14,XGN,Exagen Inc,헬스케어 업체 및 서비스,13.05,13.05,12.165,13.0,13.0,88800.0,,,,,,,1.0870000714285717,0.3587856249976595,,0.4646875155739003,,,False
2019-10-15,XGN,Exagen Inc,헬스케어 업체 및 서비스,12.96,13.25,12.35,13.0,13.0,59100.0,,,,,,,0.9648571428571432,0.0,,-0.7587912007033522,,,False
2019-10-16,XGN,Exagen Inc,헬스케어 업체 및 서비스,13.005,13.01,12.55,12.95,12.95,46500.0,-12.537174661110662,,,,,,0.9784285714285718,-0.051102350708133286,,0.10605314111058417,,,False
2019-10-17,XGN,Exagen Inc,헬스케어 업체 및 서비스,12.9,14.0,12.77,13.51,13.51,84800.0,-7.905491737594705,,,,,,1.0255000000000003,0.5460750853242324,,0.3195211322082121,,,False
2019-10-18,XGN,Exagen Inc,헬스케어 업체 및 서비스,13.36,14.0,13.01,13.99,13.99,26400.0,-3.2729882454658688,,,,,,1.0255000000000003,0.46806435884934205,,0.7893152790769973,,,False
