Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,57.119999,59.470001,57.099998,58.709999,53.688896,52137500,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-05,59.830002,61.049999,59.110001,60.93,55.719028,51429800,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-08,61.580002,61.610001,59.82,60.869999,55.664165,38154600,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-09,60.610001,61.389999,59.470001,59.93,54.804558,35645900,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-10,60.52,61.919998,60.029999,61.77,56.487198,31579100,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-11,61.779999,62.549999,61.259998,61.310001,56.066536,24802600,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-12,61.549999,62.369999,61.5,61.970001,56.67009,20422700,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-15,61.490002,61.860001,59.869999,60.389999,55.225216,31243600,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-16,59.540001,59.66,58.439999,59.110001,54.054688,30624800,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-17,58.689999,59.73,58.619999,59.369999,54.29245,25575500,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-18,58.810001,58.970001,56.52,56.810001,51.951393,38622800,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-19,56.709999,57.470001,55.810001,56.490002,51.658764,84439400,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-22,56.5,56.860001,55.900002,55.91,51.128361,29315100,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-23,54.939999,56.290001,54.450001,55.220001,50.497375,33493300,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-24,56.080002,57.279999,56.080002,56.34,51.521591,29781800,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-25,55.209999,56.5,54.5,56.18,51.375271,31495900,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-26,57.299999,57.779999,56.52,57.709999,52.774418,34226500,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-29,57.34,57.82,56.740002,57.400002,52.490932,21144400,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-30,56.860001,57.360001,56.490002,56.689999,51.841652,20303400,XOM,Exxon Mobil Corp,오일 및 가스,,,
2021-03-31,56.349998,56.630001,55.799999,55.830002,51.05521,23686500,XOM,Exxon Mobil Corp,오일 및 가스,-5.839114727009953,,
2021-04-01,56.32,57.450001,56.139999,57.389999,52.481789,23194500,XOM,Exxon Mobil Corp,오일 및 가스,-3.9199601362397307,,
2021-04-05,57.299999,57.32,56.139999,56.5,51.667912,23264800,XOM,Exxon Mobil Corp,오일 및 가스,-6.123177490101417,,
2021-04-06,56.84,57.540001,56.259998,56.34,51.521591,18926300,XOM,Exxon Mobil Corp,오일 및 가스,-5.626533478945806,,
2021-04-07,56.389999,56.77,56.240002,56.59,51.75021,22385000,XOM,Exxon Mobil Corp,오일 및 가스,-4.829856244271191,,
2021-04-08,55.93,56.080002,55.32,56.0,51.21067,21999300,XOM,Exxon Mobil Corp,오일 및 가스,-5.512755022661009,,
2021-04-09,56.0,56.439999,55.529999,55.869999,51.091782,20020700,XOM,Exxon Mobil Corp,오일 및 가스,-5.79267326373053,,
2021-04-12,56.759998,56.790001,55.310001,55.5,50.753429,20238800,XOM,Exxon Mobil Corp,오일 및 가스,-5.65259385049518,,
2021-04-13,55.299999,55.98,55.09,55.709999,50.945461,19370600,XOM,Exxon Mobil Corp,오일 및 가스,-5.018613461465704,,
2021-04-14,56.41,58.009998,56.25,57.32,52.417774,28051100,XOM,Exxon Mobil Corp,오일 및 가스,-1.518033466523272,,
2021-04-15,57.419998,57.419998,56.779999,56.98,52.106853,23250300,XOM,Exxon Mobil Corp,오일 및 가스,-2.7365261227590976,,
2021-04-16,57.360001,57.68,56.439999,56.66,51.81422,22752000,XOM,Exxon Mobil Corp,오일 및 가스,-3.296021756126599,,
2021-04-19,56.75,57.139999,55.959999,56.48,51.649612,21123300,XOM,Exxon Mobil Corp,오일 및 가스,-2.786946533289214,,
2021-04-20,56.470001,56.470001,54.779999,55.290001,50.56139,21782100,XOM,Exxon Mobil Corp,오일 및 가스,-3.9021550027989127,,
2021-04-21,54.5,56.130001,54.299999,56.0,51.21067,16625600,XOM,Exxon Mobil Corp,오일 및 가스,-3.321453793409135,,
2021-04-22,55.990002,55.990002,55.02,55.27,50.543098,21600100,XOM,Exxon Mobil Corp,오일 및 가스,-3.3045299990940635,,
2021-04-23,55.27,55.939999,55.18,55.57,50.817444,15337900,XOM,Exxon Mobil Corp,오일 및 가스,-3.454812453560041,,
2021-04-26,55.470001,56.290001,55.439999,55.68,50.918034,16083800,XOM,Exxon Mobil Corp,오일 및 가스,-3.004845229205577,,
2021-04-27,56.009998,56.630001,55.810001,56.41,51.585598,19278600,XOM,Exxon Mobil Corp,오일 및 가스,-1.3591353186228394,,
2021-04-28,56.91,58.459999,56.790001,58.110001,53.140209,24729800,XOM,Exxon Mobil Corp,오일 및 가스,1.8597121020203389,,
2021-04-29,58.919998,59.48,58.150002,58.939999,53.89922,27318400,XOM,Exxon Mobil Corp,오일 및 가스,2.642281200269969,,
2021-04-30,58.330002,58.889999,57.16,57.240002,52.34462,30518400,XOM,Exxon Mobil Corp,오일 및 가스,0.6206221382197175,,
2021-05-03,57.98,58.990002,57.740002,58.82,53.78949,20509600,XOM,Exxon Mobil Corp,오일 및 가스,3.0487404752728375,,
2021-05-04,59.0,59.5,58.509998,59.189999,54.127842,23522200,XOM,Exxon Mobil Corp,오일 및 가스,4.247466667694777,,
2021-05-05,59.77,61.049999,59.400002,60.970001,55.755615,31526200,XOM,Exxon Mobil Corp,오일 및 가스,7.008995478552338,,
2021-05-06,60.860001,61.639999,60.029999,61.549999,56.286011,26836800,XOM,Exxon Mobil Corp,오일 및 가스,6.768890228583335,,
2021-05-07,61.07,62.470001,60.849998,62.43,57.090752,33610600,XOM,Exxon Mobil Corp,오일 및 가스,7.027679714652435,,
2021-05-10,63.240002,64.019997,62.529999,62.580002,57.227924,31956600,XOM,Exxon Mobil Corp,오일 및 가스,7.830822664693371,,
2021-05-11,61.630001,62.389999,60.389999,60.59,55.408112,34563800,XOM,Exxon Mobil Corp,오일 및 가스,4.883434781812523,,
2021-05-12,60.009998,61.68,59.75,60.040001,55.705006,34426500,XOM,Exxon Mobil Corp,오일 및 가스,5.874591849681021,,
