Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2021-06-23,20.1,21.5,19.040001,21.0,21.0,13438500,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-06-24,20.860001,21.209999,20.702,21.02,21.02,7022600,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-06-25,21.02,21.07,19.73,19.73,19.73,2700300,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-06-28,19.6,19.67,17.01,17.809999,17.809999,11270300,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-06-29,17.709999,17.709999,15.38,16.15,16.15,9578800,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-06-30,16.15,20.799999,16.0,20.379999,20.379999,10052000,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-01,19.469999,19.530001,17.620001,18.6,18.6,3965400,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-02,18.0,19.709999,17.99,19.02,19.02,2948200,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-06,15.215,17.799999,14.89,17.75,17.75,24114200,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-07,16.58,17.459999,16.0,17.0,17.0,4527200,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-08,16.379999,16.559999,14.91,15.13,15.13,6977000,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-09,15.36,16.0,15.14,15.94,15.94,3046300,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-12,15.85,16.1,15.43,15.78,15.78,2723400,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-13,15.77,17.799999,15.77,17.57,17.57,3171500,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,,,,,
2021-07-14,17.15,18.07,17.15,17.52,17.52,3034600,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,2.052713785714286,-0.024357998834504898,,-0.1915195042925023,
2021-07-15,17.24,17.709999,16.76,17.16,17.16,944800,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,2.0842852142857144,-0.1727210832435769,,0.2914083008115943,
2021-07-16,17.309999,17.389999,16.76,17.200001,17.200001,2212100,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,2.0335708571428572,0.019670325162016288,,1.0127724154438738,
2021-07-19,16.540001,16.860001,16.1,16.299999,16.299999,2270800,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,1.9178566428571429,-0.4692749081908516,,1.3112834043211317,
2021-07-20,16.43,16.52,15.4,16.35,16.35,2022100,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,,,,1.8242852857142857,0.027408542069353045,,-1.467261392924215,
2021-07-21,16.33,16.74,16.15,16.559999,16.559999,1266800,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-7.221311035587719,,,1.5235710714285717,0.137833412525413,,-0.6577673120800379,
2021-07-22,16.540001,16.549999,15.11,15.15,15.15,1145200,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-13.730861422596607,,,1.4299997142857142,-0.9860134837189785,,-1.183345875274593,
2021-07-23,14.41,14.66,10.8,10.85,10.85,10444300,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-36.90097809865465,,,1.6178569285714286,-2.657836996623002,,-3.633475564890718,
2021-07-26,9.78,10.64,9.45,9.98,9.98,9049300,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-40.29681302410777,,,1.4228569285714283,-0.6114458752177518,,-0.8522507608016898,
2021-07-27,9.67,9.7,7.95,8.7,8.7,10360400,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-46.15918750436205,,,1.4428569285714283,-0.8871288446230967,,-0.42307888781437075,
2021-07-28,9.7,10.27,9.3,9.86,9.86,7192900,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-37.676815710647304,,,1.4057140714285714,0.8252033778257183,,0.8447090182291045,
2021-07-29,10.78,10.9,9.675,10.38,10.38,8529900,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-32.41508722536018,,,1.4310712142857143,0.36336416721200504,,-0.09369028926908735,
2021-07-30,9.56,10.0,9.42,9.47,9.47,5454200,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-36.025244576917224,,,1.4517855,-0.6268143606614064,,-0.043946149162046866,
2021-08-02,9.84,11.93,9.67,11.7,11.7,2680500,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-18.760307310879476,,,1.482499857142857,1.5042159965517696,-0.2541355521262067,1.697807692582785,-0.24202535036576941
2021-08-03,11.9,13.275,11.27,11.66,11.66,3010600,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-17.882726160098418,,,1.559999857142857,-0.025641027989104583,-0.2542271970658209,-0.8581720010292007,-0.28964338584696214
2021-08-04,11.64,13.2,11.58,12.53,12.53,1533100,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-9.864179506955695,,,1.6078570714285711,0.5410928716611667,-0.20324048600119643,1.0235850534239919,-0.23734504637464807
2021-08-05,12.24,12.47,11.75,11.96,11.96,1414900,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-13.378958916124173,,,1.6185714285714285,-0.3521624007060891,-0.22979996642034678,-1.0026254106267327,-0.38130203395111995
2021-08-06,12.3,12.829,12.13,12.45,12.45,1151300,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-8.748988639705813,,,1.6020713571428573,0.3058540419035186,-0.1744336128421775,0.09245832778127319,-0.4683609679896813
2021-08-09,12.36,13.68,12.27,13.24,13.24,3068200,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-1.8915769829358942,,,1.6227856428571428,0.48681722288909,-0.14161870706933913,0.6247993595265224,-0.31892805710034283
2021-08-10,14.03,14.41,13.802,14.02,14.02,5408400,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,5.274303004449732,,,1.6642142142857141,0.46868966344863106,-0.11798611771768071,0.315318224696978,-0.24942194733055603
2021-08-11,14.26,14.49,13.69,14.11,14.11,2564900,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,7.296790366142214,,,1.6177857142857142,0.05563159521391665,-0.04358289779390249,-0.14506265351674424,-0.17525886006213826
2021-08-12,13.74,14.0,12.15,12.51,12.51,2311600,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-3.417301518069338,,,1.4470714285714286,-1.1056814255392662,0.06728535728350724,-1.7971381153756774,-0.044091899382492486
2021-08-13,12.54,12.7,10.87,11.02,11.02,3268800,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-12.792018602873467,,,1.4777857142857143,-1.0082652617332883,0.03894111538954031,-1.2846231534904733,-0.07497564171740559
2021-08-16,10.86,10.86,10.35,10.49,10.49,2429900,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-14.969424712571456,,,1.3806428571428573,-0.38387914532567596,0.07488752248221321,-0.8443440706750538,-0.1050660119217401
2021-08-17,10.47,10.88,10.25,10.52,10.52,2235000,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-11.85212879942461,,,1.3135,0.02283974114959982,0.017575834148204756,1.1598757993791209,-0.08255409898245322
2021-08-18,10.6,11.265,10.6,10.99,10.99,2168400,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-4.599162613558083,,,1.2792142857142856,0.36741303255346525,0.01786503881545191,1.9731259667560104,0.06507563359076805
2021-08-19,10.75,11.12,10.58,11.02,11.02,4496800,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,-2.6600281331871645,,,1.2492142857142856,0.02401509520269833,0.0643528570914594,-0.1526434616948802,0.05731153983842282
2021-08-20,11.24,13.03,11.23,12.68,12.68,5374300,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,10.249908578100687,,,1.2170714285714286,1.3639298080873292,0.05433241505828507,0.22107458143743686,-0.048169396671959186
2021-08-23,13.25,13.42,12.5,12.89,12.89,2676300,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,9.812229736202195,,,1.1395714285714285,0.18427980443775932,0.0693267602316325,-1.0290951401790773,-0.06037819232552181
2021-08-24,13.43,15.13,13.42,14.64,14.64,5084400,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,21.55028044151237,,,1.183857142857143,1.4782188970676964,0.13626433347495606,1.258638049443613,-0.04358869260983459
2021-08-25,14.45,15.02,13.6,13.82,13.82,3040100,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,12.738707102223668,,,1.2295714285714285,-0.6668990356686421,0.11378314526334513,-1.001977152225896,-0.04354238843834625
2021-08-26,14.0,14.76,14.0,14.35,14.35,1246100,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,15.91690474803411,,,1.2346428571428572,0.4292739369395424,0.12259885205163254,1.2788286180753794,0.04119834658266134
2021-08-27,14.3,14.86,14.21,14.69,14.69,740600,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,15.330572466119197,,,1.1803571428571427,0.28804841149773064,0.10840107980939259,-0.90946959500308,-0.06839229302659598
2021-08-30,14.78,16.290001,14.27,15.8,15.8,3615200,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,21.741978903529045,,,1.2410715,0.8943884377330404,0.1388081351154218,0.319688295997268,-0.06808014507657525
2021-08-31,16.32,16.379999,15.46,16.08,16.08,2478000,YMM,Full Truck Alliance Co Ltd ADR,소프트웨어 및 IT서비스,22.10828303449306,,,1.2496428571428573,0.2240640182909383,0.15083902247806624,0.40389813847191963,-0.028868659934527852
