Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2022-06-27,YOTA,Yotta Acquisition Corp,기타 금융업,9.8,9.83,9.8,9.83,9.83,251600.0,,,,,,,,,,,,,False
2022-06-28,YOTA,Yotta Acquisition Corp,기타 금융업,9.81,9.83,9.805,9.829,9.829,14200.0,,,,,,,,,,,,,False
2022-06-29,YOTA,Yotta Acquisition Corp,기타 금융업,9.81,9.83,9.81,9.829,9.829,18300.0,,,,,,,,,,,,,False
2022-06-30,YOTA,Yotta Acquisition Corp,기타 금융업,9.8,9.82,9.8,9.819,9.819,30900.0,,,,,,,,,,,,,False
2022-07-01,YOTA,Yotta Acquisition Corp,기타 금융업,9.81,9.81,9.8,9.81,9.81,198900.0,,,,,,,,,,,,,False
2022-07-05,YOTA,Yotta Acquisition Corp,기타 금융업,9.81,9.83,9.81,9.82,9.82,1407000.0,,,,,,,,,,,,,False
2022-07-06,YOTA,Yotta Acquisition Corp,기타 금융업,9.82,9.82,9.82,9.82,9.82,0.0,,,,,,,,,,,,,False
2022-07-07,YOTA,Yotta Acquisition Corp,기타 금융업,9.83,9.83,9.83,9.83,9.83,6900.0,,,,,,,,,,,,,False
2022-07-08,YOTA,Yotta Acquisition Corp,기타 금융업,9.83,9.83,9.83,9.83,9.83,100.0,,,,,,,,,,,,,False
2022-07-11,YOTA,Yotta Acquisition Corp,기타 금융업,9.82,9.85,9.82,9.85,9.85,7100.0,,,,,,,,,,,,,False
2022-07-12,YOTA,Yotta Acquisition Corp,기타 금융업,9.85,9.85,9.84,9.84,9.84,74300.0,,,,,,,,,,,,,False
2022-07-13,YOTA,Yotta Acquisition Corp,기타 금융업,9.84,9.84,9.84,9.84,9.84,4300.0,,,,,,,,,,,,,False
2022-07-14,YOTA,Yotta Acquisition Corp,기타 금융업,9.85,9.85,9.83,9.83,9.83,8600.0,,,,,,,,,,,,,False
