Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2020-12-04,42.0,47.919998,40.0,42.279999,42.279999,3237275,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-07,42.200001,52.400002,42.16,48.439999,48.439999,1951650,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-08,47.68,62.400002,47.200001,60.240002,60.240002,1863300,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-09,65.68,95.720001,64.199997,80.720001,80.720001,3830400,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-10,84.0,84.760002,67.199997,69.199997,69.199997,1234725,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-11,68.400002,77.599998,64.400002,65.279999,65.279999,655500,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-14,64.839996,67.199997,59.599998,59.799999,59.799999,650550,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-15,60.0,60.200001,54.880001,55.959999,55.959999,485300,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-16,56.599998,59.0,54.0,54.360001,54.360001,715250,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-17,55.52,62.0,55.200001,61.200001,61.200001,839675,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-18,59.0,60.48,56.119999,56.599998,56.599998,478925,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-21,55.400002,65.959999,54.639999,59.119999,59.119999,470300,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-22,58.716,63.560001,58.040001,58.439999,58.439999,229450,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-23,58.439999,60.0,56.400002,57.799999,57.799999,133725,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,,,,,,
2020-12-24,56.799999,56.824001,54.799999,55.16,55.16,118075,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,10.411428642857143,-0.2535674104447903,,-0.6261899820736784,,
2020-12-28,55.200001,56.799999,55.040001,55.959999,55.959999,100175,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,9.805714071428572,0.08158498138661888,,-0.8094156770701667,,
2020-12-29,58.48,59.080002,52.799999,53.400002,53.400002,311875,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,9.168571357142858,-0.2792143836024807,,-0.0511379698954158,,
2020-12-30,54.799999,55.16,53.599998,54.16,54.16,230400,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,6.759999857142858,0.11242574202083079,,-0.03449412648714624,,
2020-12-31,54.16,54.439999,50.799999,51.240002,51.240002,170300,YQ,17 Education & Technology Group Inc ADR,교육서비스,,,,5.7657137857142855,-0.5064417188440539,,-1.2125246245507335,,
2021-01-04,52.200001,53.68,50.32,52.0,52.0,264050,YQ,17 Education & Technology Group Inc ADR,교육서비스,-9.733309973164205,,,5.062856928571428,0.15011247813681544,,1.5632741244646888,,
2021-01-05,51.279999,51.959999,49.360001,50.720001,50.720001,195925,YQ,17 Education & Technology Group Inc ADR,교육서비스,-13.182243607668143,,,4.708571214285714,-0.2718444601870955,,-0.9513305078046401,,
2021-01-06,50.639999,55.959999,50.0,54.0,54.0,444700,YQ,17 Education & Technology Group Inc ADR,교육서비스,-8.46829435644728,,,4.754285428571429,0.6899036772778644,,0.16717800909392622,,
2021-01-07,56.400002,56.639999,50.0,52.439999,52.439999,541100,YQ,17 Education & Technology Group Inc ADR,교육서비스,-11.716101015027558,,,4.871428214285714,-0.3202348328617912,,-1.5961123904350403,,
2021-01-08,52.799999,54.720001,51.68,53.200001,53.200001,515750,YQ,17 Education & Technology Group Inc ADR,교육서비스,-8.56375038899917,,,4.542856928571429,0.16729604562717196,,-0.2970861239732139,,
2021-01-11,51.360001,52.919998,49.799999,49.959999,49.959999,237625,YQ,17 Education & Technology Group Inc ADR,교육서비스,-11.91073137442402,,,4.422856928571429,-0.7325586272234469,,-0.17061677124625885,,
2021-01-12,51.400002,52.720001,49.68,51.599998,51.599998,221875,YQ,17 Education & Technology Group Inc ADR,교육서비스,-7.745226161178243,,,3.83142842857143,0.4280385319924869,,0.39028989897494026,,
2021-01-13,51.599998,52.360001,50.400002,50.84,50.84,190375,YQ,17 Education & Technology Group Inc ADR,교육서비스,-8.360498466600985,,,3.577142642857144,-0.2124595175195386,,-0.4165825327885766,,
2021-01-14,51.240002,52.0,47.599998,49.040001,49.040001,465000,YQ,17 Education & Technology Group Inc ADR,교육서비스,-10.588604048791705,,,3.6342857857142867,-0.4952827339763631,-0.10301730201555513,-0.16163705191407512,-0.3004561232646707,
2021-01-15,49.040001,49.299999,47.639999,48.32,48.32,326725,YQ,17 Education & Technology Group Inc ADR,교육서비스,-10.687185535747613,,,3.5385715000000006,-0.20347222035784673,-0.09943907415220202,0.4015712003455618,-0.227044610234725,
2021-01-19,48.639999,50.32,48.040001,49.0,49.0,273300,YQ,17 Education & Technology Group Inc ADR,교육서비스,-9.039176415672356,,,3.5757144285714295,0.19017178624962885,-0.09168287380484416,-0.4908463307611932,-0.2042896569269412,
2021-01-20,49.240002,77.480003,49.200001,72.639999,72.639999,2932850,YQ,17 Education & Technology Group Inc ADR,교육서비스,31.32446943385647,,,5.161428714285715,4.58012699750548,0.25541293913143875,3.4542872793233994,0.04609786087440274,
2021-01-21,68.639999,72.0,64.519997,68.839996,68.839996,816350,YQ,17 Education & Technology Group Inc ADR,교육서비스,23.612021516347582,,,5.615714714285716,-0.6766730849651683,0.19904873720386737,-0.7026642634122818,-0.0016285774773926534,
2021-01-22,67.959999,75.475998,66.839996,67.599998,67.599998,541550,YQ,17 Education & Technology Group Inc ADR,교육서비스,21.02006089356332,,,5.972572000000001,-0.20761541258941704,0.22039347336491288,0.04359711975947542,0.08809440425905082,
2021-01-25,71.599998,71.919998,61.400002,62.84,62.84,503500,YQ,17 Education & Technology Group Inc ADR,교육서비스,11.848819820834944,,,6.484000285714288,-0.7341144031852286,0.1572344104133383,-1.0575383818510435,-0.09910648904921578,
2021-01-26,66.0,79.519997,65.720001,74.239998,74.239998,1134500,YQ,17 Education & Technology Group Inc ADR,교육서비스,30.373293231096433,,,7.486857285714287,1.5226679987279033,0.28541387176440963,1.6608336013952172,0.0874766616079169,
2021-01-27,71.760002,73.919998,66.0,67.279999,67.279999,513150,YQ,17 Education & Technology Group Inc ADR,교육서비스,20.06475430406325,,,7.649714357142857,-0.9098377632232967,0.1711466260143267,1.318451340868934,0.16971047102041745,
2021-01-28,68.32,69.360001,64.800003,66.919998,66.919998,232150,YQ,17 Education & Technology Group Inc ADR,교육서비스,16.959978099740415,,,7.501142857142859,-0.047992820141692275,0.19059248406576232,-0.8521256415226697,0.22285238165701535,
2021-01-29,65.199997,69.120003,61.599998,65.160004,65.160004,441450,YQ,17 Education & Technology Group Inc ADR,교육서비스,14.97308135957982,,,7.821143142857143,-0.2250302759907118,0.16256917537877064,1.2642560215878125,0.33437682062566004,
2021-02-01,55.84,59.119999,53.32,56.040001,56.040001,1040125,YQ,17 Education & Technology Group Inc ADR,교육서비스,-3.0646440777017614,,,8.424000428571429,-1.0826213836680212,0.13756469277558675,-2.2387382204943496,0.18665385996508216,
2021-02-02,58.080002,60.240002,56.240002,56.880001,56.880001,435275,YQ,17 Education & Technology Group Inc ADR,교육서비스,-3.217437709760551,,,8.506857571428572,0.09874386551636372,0.11404364517014938,-0.8713582495628946,0.09653613506952254,
2021-02-03,57.560001,58.080002,53.599998,56.080002,56.080002,531350,YQ,17 Education & Technology Group Inc ADR,교육서비스,-4.99408575527136,,,8.68685792857143,-0.09209302219261241,0.12264125197921553,-0.1633551592203813,0.11462380461010792,
2021-02-04,57.240002,58.599998,55.240002,58.0,58.0,362950,YQ,17 Education & Technology Group Inc ADR,교육서비스,-2.976803657754634,,,8.612571785714286,0.22292969484268446,0.17394213975200465,-0.5330762133056342,0.08809243593928227,
2021-02-05,60.279999,60.48,56.439999,57.84,57.84,335950,YQ,17 Education & Technology Group Inc ADR,교육서비스,-3.96057810092153,,,8.782571857142857,-0.018217898196855487,0.18717459133493258,-0.3011405509011921,0.037898739421656995,
2021-02-08,58.119999,58.568001,56.0,57.240002,57.240002,355675,YQ,17 Education & Technology Group Inc ADR,교육서비스,-5.870231042575192,,,8.80314342857143,-0.06815724461022145,0.16872251770208613,-0.6127290770358316,0.02919282897346855,
2021-02-09,56.759998,57.880001,55.240002,57.560001,57.560001,383550,YQ,17 Education & Technology Group Inc ADR,교육서비스,-5.714422118971729,,,6.957428857142857,0.045993858732953516,-0.15514413506738003,0.1339194915652223,-0.2079762987235441,
2021-02-10,58.807999,59.52,55.560001,57.0,57.0,429750,YQ,17 Education & Technology Group Inc ADR,교육서비스,-6.898844075022092,,,6.660285785714287,-0.0840806262699945,-0.11281610230343905,-0.057988208031766825,-0.16192800905350732,
2021-02-11,57.040001,65.0,56.759998,62.919998,62.919998,697850,YQ,17 Education & Technology Group Inc ADR,교육서비스,1.716131918098629,,,6.632000071428571,0.8926414258504068,-0.034226328129165914,0.769224875951732,-0.11009745503977471,
2021-02-12,61.279999,65.959999,60.799999,61.639999,61.639999,327900,YQ,17 Education & Technology Group Inc ADR,교육서비스,-1.6746878671819898,,,6.249143214285714,-0.2048279189815787,0.003579849313951944,-0.5703229538653674,-0.07529635304079783,
2021-02-16,67.720001,68.959999,64.0,66.199997,66.199997,471500,YQ,17 Education & Technology Group Inc ADR,교육서비스,4.345949670643701,,,5.580571999999999,0.8171201805119608,-0.046816423415758236,0.8612777915177668,-0.13240748231775856,
