Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2020-11-19,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",17.51,20.799999,16.0,18.4,18.4,35762500.0,,,,,,,,,,,,,False
2020-11-20,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",20.1,21.0,19.110001,20.030001,20.030001,16980300.0,,,,,,,,,,,,,False
2020-11-23,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",20.879999,20.879999,18.24,18.24,18.24,6591300.0,,,,,,,,,,,,,False
2020-11-24,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",18.440001,18.74,16.98,17.15,17.15,5373500.0,,,,,,,,,,,,,False
2020-11-25,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",17.209999,17.700001,16.860001,16.860001,16.860001,3044100.0,,,,,,,,,,,,,False
2020-11-27,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",17.200001,18.610001,17.02,17.58,17.58,2474600.0,,,,,,,,,,,,,False
2020-11-30,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",17.959999,19.450001,16.5,16.709999,16.709999,4172200.0,,,,,,,,,,,,,False
2020-12-01,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",17.01,17.25,16.51,16.780001,16.780001,2319900.0,,,,,,,,,,,,,False
2020-12-02,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",16.15,16.5,15.18,16.0,16.0,3839500.0,,,,,,,,,,,,,False
2020-12-03,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",16.110001,16.495001,15.6,15.83,15.83,3004700.0,,,,,,,,,,,,,False
2020-12-04,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",15.9,16.15,15.75,15.99,15.99,1941000.0,,,,,,,,,,,,,False
2020-12-07,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",16.02,16.02,15.17,15.56,15.56,4067600.0,,,,,,,,,,,,,False
2020-12-08,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",15.65,17.219999,15.55,17.040001,17.040001,4974900.0,,,,,,,,,,,,,False
2020-12-09,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",17.280001,18.299999,17.059999,17.9,17.9,7255300.0,,,,,,,,,,,,,False
2020-12-10,YSG,Yatsen Holding Ltd ADR,"개인, 가정 용품 및 서비스",17.25,17.9,16.76,17.76,17.76,2121000.0,,,,,,,1.5067856428571424,-0.09291301696672082,,0.044907764792722585,,,False
