Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,148.639999,149.279999,145.550003,146.850006,146.850006,353400,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-05,148.050003,148.970001,145.949997,148.520004,148.520004,313600,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-08,148.570007,150.399994,147.990005,148.229996,148.229996,474500,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-09,150.860001,152.449997,150.559998,151.539993,151.539993,349700,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-10,151.070007,152.169998,150.25,151.880005,151.880005,472100,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-11,150.149994,151.289993,149.0,150.360001,150.360001,498400,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-12,149.770004,150.710007,149.570007,150.529999,150.529999,295500,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-15,153.0,153.660004,152.259995,152.899994,152.899994,394000,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-16,152.0,152.669998,151.679993,152.100006,152.100006,284800,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-17,152.75,154.190002,152.070007,153.639999,153.639999,319100,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-18,157.429993,159.550003,157.0,157.710007,157.710007,824300,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-19,158.710007,158.869995,157.110001,158.580002,158.580002,425100,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-22,155.199997,155.199997,154.190002,154.479996,154.479996,451100,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-23,153.050003,153.089996,151.100006,151.339996,151.339996,386900,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-24,150.990005,151.380005,150.399994,150.669998,150.669998,344200,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-25,150.0,151.259995,149.119995,151.070007,151.070007,273800,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-26,153.0,153.410004,152.089996,153.369995,153.369995,312200,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-29,154.0,155.300003,153.529999,154.899994,154.899994,317200,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-30,153.630005,154.639999,153.380005,153.869995,153.869995,476000,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,,,
2021-03-31,156.220001,156.470001,155.809998,156.059998,156.059998,289200,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,0.9515555591268932,,
2021-04-01,153.600006,154.229996,153.039993,154.160004,154.160004,274500,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-1.3645618916429902,,
2021-04-05,154.160004,155.839996,153.779999,155.380005,155.380005,300600,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-1.9289772874883426,,
2021-04-06,153.100006,154.289993,153.039993,153.649994,153.649994,400300,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-2.7919674801164085,,
2021-04-07,154.839996,155.740005,154.550003,154.699997,154.699997,216500,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-2.1223086123380086,,
2021-04-08,154.350006,154.699997,152.889999,153.380005,153.380005,233700,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-3.175380018218066,,
2021-04-09,154.059998,154.449997,153.509995,154.279999,154.279999,181400,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-3.2529972647481142,,
2021-04-12,154.910004,154.910004,153.899994,154.089996,154.089996,246300,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-3.247340903820961,,
2021-04-13,155.0,155.789993,154.320007,155.770004,155.770004,220300,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-2.3981540681061286,,
2021-04-14,156.25,156.880005,155.869995,156.220001,156.220001,172900,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-1.649581358044705,,
2021-04-15,156.979996,157.429993,156.5,157.309998,157.309998,179000,TM,Toyota Motor Corp ADR,자동차 및 자동차 부품,-1.930381131499781,,
