Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,5.81,5.81,5.21,5.3,5.3,49900,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-05,5.4,5.44,4.901,5.001,5.001,72800,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-08,5.2,5.47,5.2,5.25,5.25,24300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-09,5.35,5.43,5.18,5.18,5.18,39300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-10,5.18,5.5,5.18,5.24,5.24,40500,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-11,5.3,5.98,5.242,5.9,5.9,49600,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-12,5.87,5.87,5.51,5.56,5.56,31700,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-15,5.85,5.95,5.56,5.82,5.82,63300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-16,5.768,5.9,5.435,5.45,5.45,42400,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-17,5.65,5.8,5.12,5.43,5.43,52700,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-18,5.4,5.49,5.303,5.31,5.31,25300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-19,5.4,5.63,5.02,5.02,5.02,58400,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-22,5.11,5.63,5.11,5.15,5.15,16700,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-23,5.3,5.4,4.91,4.98,4.98,49800,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-24,5.1,5.1,4.32,4.32,4.32,64400,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-25,4.62,4.62,4.3,4.38,4.38,52300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-26,4.7,4.7,4.3,4.41,4.41,22000,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-29,4.3,4.79,4.3,4.72,4.72,42500,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-30,4.65,4.65,4.4,4.5,4.5,23100,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,,,
2021-03-31,4.6,4.94,4.434,4.64,4.64,46500,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-9.923770018083788,,
2021-04-01,4.7,4.915,4.62,4.88,4.88,44500,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-5.671826441284877,,
2021-04-05,4.92,4.979,4.67,4.67,4.67,20700,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-10.471482218299588,,
2021-04-06,4.59,4.63,4.452,4.51,4.51,102300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-12.5424200881596,,
2021-04-07,4.9,4.93,4.57,4.88,4.88,74400,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-4.97934620257322,,
2021-04-08,4.912,4.912,4.51,4.6,4.6,38300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-10.016913065241217,,
2021-04-09,4.62,4.72,4.53,4.66,4.66,8800,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-8.183650959903698,,
2021-04-12,4.58,4.58,4.4,4.44,4.44,470200,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-11.294667843210672,,
2021-04-13,4.78,5.15,4.6,5.12,5.12,251800,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,2.9317966068755252,,
2021-04-14,5.07,5.15,4.72,4.87,4.87,44800,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-0.8893059770075595,,
2021-04-15,4.79,4.79,4.38,4.64,4.64,42500,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-5.600892194949769,,
2021-04-16,4.57,4.67,4.501,4.55,4.55,7300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-6.699780818788048,,
2021-04-19,4.47,4.615,4.381,4.39,4.39,21100,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-8.60460485730361,,
2021-04-20,4.37,4.37,4.31,4.32,4.32,12800,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-8.405335695321359,,
2021-04-21,4.32,4.58,4.32,4.41,4.41,114400,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-6.470369698476408,,
2021-04-22,4.38,4.59,4.37,4.57,4.57,27600,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-2.1518148715500396,,
2021-04-23,4.6,4.65,4.421,4.49,4.49,87400,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-4.708988569611328,,
2021-04-26,4.49,4.68,4.45,4.66,4.66,26600,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-1.2912325247788958,,
2021-04-27,4.56,4.6,4.5,4.535,4.535,20000,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-3.467080220168639,,
2021-04-28,4.5,4.5,4.32,4.44,4.44,29300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-5.090469409371645,,
2021-04-29,4.487,4.56,4.36,4.39,4.39,21500,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-6.263568997608671,,
2021-04-30,4.37,4.43,4.2,4.28,4.28,26500,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-7.155503080911796,,
2021-05-03,4.24,4.3,4.12,4.12,4.12,13500,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-10.209453505924737,,
2021-05-04,3.88,4.1,3.81,3.87,3.87,100000,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-14.395521689265767,,
2021-05-05,3.94,4.35,3.92,4.05,4.05,85000,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-9.542293339502994,,
2021-05-06,3.98,4.0,3.83,3.88,3.88,29300,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-13.236482283973904,,
2021-05-07,3.98,4.086,3.86,4.08,4.08,14800,VLON,Vallon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,-8.725668059684,,
