Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,25.290001,25.549999,25.290001,25.290001,22.528002,6000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-05,25.290001,25.57,25.23,25.530001,22.741789,10500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-08,25.370001,25.549999,25.26,25.549999,22.759602,5900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-09,25.360001,25.719999,25.360001,25.719999,22.911037,11200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-10,25.719999,25.959999,25.459999,25.959999,23.124826,4900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-11,25.83,26.0,25.65,26.0,23.160458,5100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-12,25.68,25.690001,25.299999,25.49,23.010605,4500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-15,25.5,25.66,25.450001,25.65,23.155043,6000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-16,25.51,25.809999,25.5,25.719999,23.218231,4900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-17,25.629999,25.629999,25.51,25.540001,23.055744,1600,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-18,25.379999,25.48,25.309999,25.4,22.929358,7100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-19,25.16,25.549999,25.16,25.540001,23.055744,6500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-22,25.6,25.700001,25.4,25.4,22.929358,4400,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-23,25.389999,25.73,25.389999,25.73,23.227259,1700,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-24,25.76,25.809999,25.450001,25.700001,23.200176,4400,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-25,25.629999,25.65,25.549999,25.65,23.155043,2200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-26,25.57,25.65,25.5,25.51,23.028658,7000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-29,25.530001,25.57,25.379999,25.4,22.929358,9500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-30,25.42,25.700001,25.42,25.6,23.109907,4600,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,,,
2021-03-31,25.57,25.799999,25.57,25.799999,23.290449,2700,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.6767085847939724,,
2021-04-01,25.690001,25.75,25.690001,25.75,23.245314,3000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.7984852621402814,,
2021-04-05,25.76,25.940001,25.76,25.940001,23.416834,4900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.269140763985944,,
2021-04-06,25.879999,25.950001,25.65,25.85,23.33559,3900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.257347828227252,,
2021-04-07,25.85,25.959999,25.67,25.67,23.173096,3300,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.822769900076838,,
2021-04-08,25.83,25.959999,25.66,25.91,23.389751,2000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.073448467789296,,
2021-04-09,25.879999,25.98,25.809999,25.98,23.452944,1000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.3284098395041752,,
2021-04-12,25.93,25.93,25.75,25.860001,23.344616,1500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.6096751659237527,,
2021-04-13,25.799999,25.940001,25.540001,25.879999,23.362665,5200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.6926350004941146,,
2021-04-14,25.709999,25.83,25.709999,25.83,23.317533,800,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.308445111049273,,
2021-04-15,25.700001,25.83,25.65,25.83,23.317533,4200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-3.2044780114836025,,
2021-04-16,25.809999,26.030001,25.76,26.0,23.470997,2100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.70859750230531,,
2021-04-19,25.809999,25.809999,25.73,25.73,23.227259,4800,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.941892497379084,,
2021-04-20,25.85,25.860001,25.790001,25.84,23.326561,1900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.7076671792246811,,
2021-04-21,25.82,25.889999,25.75,25.799999,23.290449,2900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.4596228336002612,,
2021-04-22,25.83,25.9,25.719999,25.9,23.380724,1200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.9019412693478612,,
2021-04-23,26.18,26.18,25.91,25.99,23.461969,3500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.3646252596819508,,
2021-04-26,25.93,25.93,25.85,25.9,23.380724,1500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.6990273633044062,,
2021-04-27,25.91,25.91,25.77,25.780001,23.272398,3400,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.9474719182500322,,
2021-04-28,25.67,25.870001,25.639999,25.75,23.245314,3300,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.7350560811723925,,
2021-04-29,25.74,25.870001,25.709999,25.74,23.236286,2700,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.1345451724628983,,
2021-04-30,26.02,26.02,25.559999,25.75,23.245314,8600,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.1915450953128404,,
2021-05-03,25.559999,25.93,25.559999,25.709999,23.209204,2100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.4343717081154117,,
2021-05-04,25.68,25.879999,25.68,25.700001,23.200176,2100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.6711881965848265,,
2021-05-05,25.790001,25.790001,25.780001,25.780001,23.272398,900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.3470913531767872,,
2021-05-06,25.610001,25.700001,25.610001,25.700001,23.200176,1900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.2962225718950338,,
2021-05-07,25.709999,25.790001,25.67,25.75,23.245314,2400,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.6624990119571526,,
2021-05-10,25.67,25.709999,25.66,25.66,23.164072,1500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.8620998052164763,,
2021-05-11,25.549999,25.549999,25.5,25.5,23.019632,4500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.5318488827736001,,
2021-05-12,25.41,25.540001,25.35,25.35,22.884224,5400,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,1.0694759760530692,,
2021-05-13,25.360001,25.450001,25.27,25.35,22.884224,3100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.12220594196856727,,
2021-05-14,25.5,25.6,25.5,25.6,23.109907,1800,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.5564921654255595,,
2021-05-17,25.549999,25.639999,25.540001,25.540001,23.055744,1000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.5010675813335252,,
2021-05-18,25.5,25.6,25.5,25.6,23.109907,1000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.62809017258878,,
2021-05-19,25.4,25.719999,25.4,25.66,23.164072,5800,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,1.1184549852343517,,
2021-05-20,25.709999,25.77,25.620001,25.66,23.164072,6500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.1387048839520455,,
2021-05-21,25.690001,25.790001,25.57,25.73,23.227259,3800,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.5120197231495371,,
2021-05-24,25.860001,25.860001,25.690001,25.690001,23.191149,2200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.5775321597890182,,
2021-05-25,25.709999,25.83,25.610001,25.809999,23.299477,2500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.09547245767542734,,
2021-05-26,25.709999,25.73,25.690001,25.700001,23.200176,2100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.4930120293322182,,
2021-05-27,25.780001,25.780001,25.65,25.75,23.245314,2200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.42985752839178604,,
2021-05-28,25.85,26.049999,25.85,26.049999,23.516132,3500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.6219345635790852,,
2021-06-01,25.950001,26.18,25.9,26.16,23.615433,1900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,1.0199908908876898,,
2021-06-02,26.01,26.43,26.01,26.35,23.786953,5300,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,1.5319392990701175,,
2021-06-03,26.25,26.25,25.93,26.139999,23.597378,4000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,1.0497770251256533,,
2021-06-04,26.1,26.129999,26.059999,26.059999,23.52516,3100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.177417955385617,,
2021-06-07,26.200001,26.200001,26.1,26.1,23.56127,600,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.01863966310587939,,
2021-06-08,26.18,26.24,26.18,26.219999,23.669596,3100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.3615560468889223,,
2021-06-09,26.18,26.379999,26.18,26.379999,23.814034,2300,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,1.0682278422730507,,
2021-06-10,26.33,26.35,26.27,26.35,23.786953,1300,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.5047759961587905,,
2021-06-11,26.190001,26.190001,26.18,26.18,23.633488,1300,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.33748798157168247,,
2021-06-14,26.0,26.32,25.700001,26.32,24.076227,3900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.02812332820155694,,
2021-06-15,25.99,26.23,25.99,26.23,23.993898,1200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.20313585004146928,,
2021-06-16,26.1,26.299999,26.1,26.1,23.874981,7500,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.14153060151124164,,
2021-06-17,26.07,26.15,25.969999,25.99,23.774357,6400,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.45579549544209064,,
2021-06-18,26.08,26.08,25.9,25.940001,23.728622,3100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.6281510913020538,,
2021-06-21,25.9,26.030001,25.9,25.950001,23.73777,4200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.6838791242918751,,
2021-06-22,25.950001,26.139999,25.950001,26.1,23.874981,4400,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.6394483151329511,,
2021-06-23,25.940001,26.290001,25.940001,26.290001,24.048786,6000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.16396660060222779,,
2021-06-24,26.299999,26.5,26.07,26.1,23.874981,2700,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.1285067265349724,,
2021-06-25,25.98,26.0,25.83,25.870001,23.664591,11200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.2569623368325464,,
2021-06-28,25.950001,25.950001,25.809999,25.84,23.637148,5100,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.4586582410474622,,
2021-06-29,25.799999,25.99,25.700001,25.700001,23.509081,11700,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.827225411107026,,
2021-06-30,25.76,25.84,25.51,25.67,23.48164,48000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.8420000895091224,,
2021-07-01,25.66,25.74,25.58,25.59,23.408459,6200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-3.4037984345629324,,
2021-07-02,25.719999,25.73,25.65,25.719999,23.527376,2000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-3.4378524986246717,,
2021-07-06,25.809999,25.93,25.73,25.889999,23.682882,7000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.4315265337980563,,
2021-07-07,25.950001,26.030001,25.780001,26.030001,23.810949,2200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.048046696028738,,
2021-07-08,25.99,26.049999,25.82,25.860001,23.655441,3300,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.632213359886392,,
2021-07-09,25.889999,26.040001,25.860001,25.860001,23.655441,3900,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.490759510468399,,
2021-07-12,25.83,25.98,25.76,25.91,23.701178,5600,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.433740092294645,,
2021-07-13,25.91,25.959999,25.68,25.690001,23.499933,5300,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.6751691581192727,,
2021-07-14,25.82,25.940001,25.74,25.809999,23.609705,3200,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-2.110453769061227,,
2021-07-15,25.92,25.92,25.82,25.82,23.618853,1700,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-1.541756853345111,,
2021-07-16,25.73,25.860001,25.73,25.780001,23.582262,2000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.7839576416764804,,
2021-07-19,25.780001,25.780001,25.629999,25.629999,23.445049,1000,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,0.4026970172190891,,
2021-07-20,25.790001,25.879999,25.780001,25.809999,23.609705,1600,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.2592306837299496,,
2021-07-21,25.870001,25.870001,25.780001,25.82,23.618853,3700,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,은행,-0.8519296648574315,,
