Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,30.58,30.969999,28.0,29.4,29.4,1791400,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-05,29.459999,29.879999,27.02,29.48,29.48,1885600,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-08,29.48,30.559999,29.27,29.530001,29.530001,1140000,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-09,30.24,31.33,29.98,31.15,31.15,1040100,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-10,31.959999,33.5,31.84,31.99,31.99,1422100,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-11,32.57,33.099998,32.200001,33.099998,33.099998,807000,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-12,32.779999,33.41,32.439999,32.830002,32.830002,639200,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-15,32.799999,32.830002,31.41,32.380001,32.380001,815300,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-16,32.450001,32.700001,31.52,32.490002,32.490002,525800,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-17,32.02,32.619999,31.51,32.52,32.52,663900,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-18,32.209999,35.599998,32.009998,33.049999,33.049999,3550100,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-19,33.599998,35.259998,33.504002,34.5,34.5,2335700,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-22,34.689999,35.0,32.57,33.389999,33.389999,1302400,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-23,33.310001,34.16,31.01,31.48,31.48,1594400,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-24,32.139999,32.240002,28.35,28.58,28.58,2288000,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-25,28.43,30.08,28.219999,29.879999,29.879999,1116800,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-26,30.59,30.91,29.790001,30.85,30.85,759000,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-29,30.57,31.34,29.325001,29.49,29.49,760000,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-30,29.49,30.860001,29.24,30.67,30.67,917200,VSTO,Vista Outdoor Inc,레저 상품,,,
2021-03-31,31.200001,32.389999,31.110001,32.07,32.07,1355100,VSTO,Vista Outdoor Inc,레저 상품,0.5921343064224205,,
2021-04-01,32.299999,33.130001,31.9,32.330002,32.330002,713100,VSTO,Vista Outdoor Inc,레저 상품,0.07226230739314499,,
2021-04-05,33.07,33.330002,32.41,32.720001,32.720001,905900,VSTO,Vista Outdoor Inc,레저 상품,-0.3792833846624988,,
2021-04-06,32.450001,33.259998,32.299999,32.689999,32.689999,568500,VSTO,Vista Outdoor Inc,레저 상품,-0.5567017814380737,,
2021-04-07,32.389999,32.775002,31.52,32.330002,32.330002,640400,VSTO,Vista Outdoor Inc,레저 상품,-1.7274642923780115,,
2021-04-08,33.439999,33.860001,32.119999,32.41,32.41,819500,VSTO,Vista Outdoor Inc,레저 상품,-1.7187316973553468,,
2021-04-09,32.209999,32.5,31.4,31.66,31.66,744100,VSTO,Vista Outdoor Inc,레저 상품,-4.2919442750122165,,
2021-04-12,31.450001,32.75,31.299999,32.630001,32.630001,763600,VSTO,Vista Outdoor Inc,레저 상품,-1.080484802919246,,
2021-04-13,32.82,33.509998,32.459999,32.830002,32.830002,592300,VSTO,Vista Outdoor Inc,레저 상품,-0.6571173837163324,,
2021-04-14,32.77,33.509998,32.549999,32.68,32.68,485900,VSTO,Vista Outdoor Inc,레저 상품,-0.5331938664206226,,
2021-04-15,32.73,32.73,31.780001,32.389999,32.389999,576400,VSTO,Vista Outdoor Inc,레저 상품,-2.2420905622917653,,
2021-04-16,32.439999,32.5,31.690001,31.709999,31.709999,724500,VSTO,Vista Outdoor Inc,레저 상품,-4.116788576047259,,
2021-04-19,32.799999,33.700001,31.98,33.41,33.41,1151200,VSTO,Vista Outdoor Inc,레저 상품,2.0738339840116637,,
2021-04-20,33.419998,34.68,31.15,32.0,32.0,1418400,VSTO,Vista Outdoor Inc,레저 상품,-1.1024641138635771,,
2021-04-21,31.530001,32.360001,30.809999,32.16,32.16,698400,VSTO,Vista Outdoor Inc,레저 상품,-1.3073596232835993,,
2021-04-22,32.5,33.330002,31.809999,32.290001,32.290001,497500,VSTO,Vista Outdoor Inc,레저 상품,-0.28117362196542484,,
2021-04-23,32.290001,32.868999,32.009998,32.66,32.66,524700,VSTO,Vista Outdoor Inc,레저 상품,-0.337203876542036,,
2021-04-26,33.400002,33.400002,32.529999,32.849998,32.849998,555900,VSTO,Vista Outdoor Inc,레저 상품,0.011520778131113296,,
2021-04-27,33.18,34.249001,33.0,33.150002,33.150002,662600,VSTO,Vista Outdoor Inc,레저 상품,0.631143555877145,,
2021-04-28,32.869999,33.290001,32.209999,32.599998,32.599998,523600,VSTO,Vista Outdoor Inc,레저 상품,-0.9832391017359998,,
2021-04-29,32.759998,33.48,32.459999,33.02,33.02,605000,VSTO,Vista Outdoor Inc,레저 상품,-0.23439802189249015,,
2021-04-30,32.709999,33.119999,32.080002,32.610001,32.610001,1006500,VSTO,Vista Outdoor Inc,레저 상품,-0.6052944238737146,,
2021-05-03,32.849998,34.27,32.459999,33.98,33.98,989300,VSTO,Vista Outdoor Inc,레저 상품,3.2333665338735385,,
2021-05-04,34.380001,34.650002,33.290001,34.580002,34.580002,987900,VSTO,Vista Outdoor Inc,레저 상품,5.574915543110137,,
2021-05-05,34.900002,35.779999,34.43,35.48,35.48,1579800,VSTO,Vista Outdoor Inc,레저 상품,7.842560929792164,,
2021-05-06,36.09,36.09,32.169998,34.509998,34.509998,2289300,VSTO,Vista Outdoor Inc,레저 상품,3.84524038471441,,
2021-05-07,34.68,35.32,34.299999,34.470001,34.470001,906600,VSTO,Vista Outdoor Inc,레저 상품,2.656881071187489,,
2021-05-10,34.509998,36.630001,34.509998,35.630001,35.630001,1731500,VSTO,Vista Outdoor Inc,레저 상품,6.8251101510120815,,
2021-05-11,34.689999,37.0,34.369999,36.849998,36.849998,1294600,VSTO,Vista Outdoor Inc,레저 상품,10.79004173119058,,
2021-05-12,36.720001,36.84,35.360001,35.380001,35.380001,1123100,VSTO,Vista Outdoor Inc,레저 상품,8.172266100694614,,
2021-05-13,35.349998,37.110001,35.32,36.360001,36.360001,955400,VSTO,Vista Outdoor Inc,레저 상품,9.103250543041174,,
2021-05-14,36.529999,37.52,36.189999,37.450001,37.450001,784900,VSTO,Vista Outdoor Inc,레저 상품,9.776430967203332,,
2021-05-17,37.450001,38.209999,37.009998,37.779999,37.779999,1045700,VSTO,Vista Outdoor Inc,레저 상품,10.31633380232877,,
2021-05-18,38.220001,39.150002,37.174999,37.18,37.18,1582000,VSTO,Vista Outdoor Inc,레저 상품,8.659351933935344,,
2021-05-19,36.0,37.84,35.299999,37.400002,37.400002,1331700,VSTO,Vista Outdoor Inc,레저 상품,8.719168183065907,,
2021-05-20,37.5,37.880001,37.009998,37.560001,37.560001,487700,VSTO,Vista Outdoor Inc,레저 상품,7.25997552219384,,
2021-05-21,37.810001,38.119999,37.400002,37.950001,37.950001,499200,VSTO,Vista Outdoor Inc,레저 상품,7.616011767487962,,
2021-05-24,38.34,38.978001,38.0,38.040001,38.040001,630600,VSTO,Vista Outdoor Inc,레저 상품,6.050850138376052,,
2021-05-25,38.169998,38.57,37.349998,37.5,37.5,534300,VSTO,Vista Outdoor Inc,레저 상품,4.13688678801909,,
2021-05-26,37.860001,40.0,37.66,39.959999,39.959999,1795500,VSTO,Vista Outdoor Inc,레저 상품,9.657039278673206,,
2021-05-27,41.25,44.93,40.740002,43.34,43.34,2235500,VSTO,Vista Outdoor Inc,레저 상품,17.124040344296954,,
2021-05-28,43.68,44.16,42.919998,43.59,43.59,981300,VSTO,Vista Outdoor Inc,레저 상품,16.017214636114364,,
2021-06-01,44.189999,45.0,43.610001,44.68,44.68,1014300,VSTO,Vista Outdoor Inc,레저 상품,17.317417647407396,,
2021-06-02,44.360001,44.630001,43.529999,43.889999,43.889999,826700,VSTO,Vista Outdoor Inc,레저 상품,13.742158504136025,,
2021-06-03,43.490002,43.740002,42.869999,43.040001,43.040001,803500,VSTO,Vista Outdoor Inc,레저 상품,10.886396907632069,,
2021-06-04,43.279999,43.439999,42.080002,42.439999,42.439999,754100,VSTO,Vista Outdoor Inc,레저 상품,7.328148948206037,,
2021-06-07,42.439999,43.75,42.290001,43.630001,43.630001,729600,VSTO,Vista Outdoor Inc,레저 상품,9.15344938774263,,
2021-06-08,43.810001,44.119999,42.75,43.18,43.18,563500,VSTO,Vista Outdoor Inc,레저 상품,7.042194365188981,,
