Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,17.51,18.18,17.5,18.07,15.417448,64400,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-05,18.209999,18.5,17.82,18.15,15.485706,42200,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-08,17.99,18.299999,17.43,17.75,15.144422,34900,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-09,17.82,17.92,17.24,17.709999,15.110291,27200,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-10,17.77,18.450001,17.700001,18.35,15.656348,45700,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-11,18.33,18.73,18.219999,18.73,15.980567,37000,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-12,18.65,18.879999,18.34,18.780001,16.023228,75000,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-15,18.610001,18.620001,17.639999,17.969999,15.332125,95100,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-16,17.9,17.9,17.09,17.379999,14.828734,26200,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-17,17.4,17.4,17.049999,17.08,14.572772,25700,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-18,17.0,17.52,16.629999,16.65,14.205894,35200,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-19,16.559999,17.16,15.92,16.24,13.856079,147600,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-22,16.549999,16.549999,15.68,15.81,13.489201,46500,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-23,15.74,16.0,15.2,15.3,13.054067,41600,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-24,15.44,15.67,14.79,14.87,12.687187,48700,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-25,14.77,15.13,14.64,14.88,12.695719,60200,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-26,15.1,15.28,14.78,15.06,12.849297,74000,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-29,14.97,15.45,14.62,14.62,12.473884,46700,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-30,14.53,14.98,14.45,14.48,12.354436,70500,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,,,
2021-03-31,14.51,15.13,14.44,14.46,12.337372,69500,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,-14.253795972879235,,
2021-04-01,14.31,15.87,14.31,15.73,13.420944,44600,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,-6.845154095365203,,
2021-04-05,15.9,16.139999,15.47,15.56,13.275898,197800,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,-8.170397830293696,,
2021-04-06,15.62,16.35,15.61,16.049999,13.693969,39900,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,-4.374743777983248,,
2021-04-07,16.030001,16.360001,15.88,16.049999,13.693969,50700,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,-3.772945427264063,,
2021-04-08,16.139999,17.42,16.0,17.200001,14.675158,80800,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,3.3311282697163103,,
2021-04-09,17.24,17.91,17.09,17.459999,14.896992,82800,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,4.767457065751568,,
2021-04-12,17.559999,18.18,17.139999,17.51,14.939654,48300,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,5.770297220849341,,
2021-04-13,17.469999,17.469999,16.700001,17.16,14.641029,37100,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,3.8131575383861804,,
2021-04-14,17.15,17.15,15.8,15.88,13.548927,32900,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,-2.8841988060802515,,
2021-04-15,16.08,16.639999,16.08,16.51,14.086448,35600,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,0.28952139804390153,,
2021-04-16,16.639999,16.82,16.33,16.75,14.291215,35100,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,1.7041462493162074,,
2021-04-19,16.559999,17.040001,16.51,16.75,14.291215,30800,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,2.411827925932397,,
2021-04-20,16.540001,16.790001,16.200001,16.73,14.274153,51000,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,2.9456758870912925,,
2021-04-21,16.620001,17.040001,16.59,16.969999,14.478919,24200,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,3.2577867930279725,,
2021-04-22,17.049999,17.049999,16.290001,16.530001,14.103512,34800,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,1.2915903740259305,,
2021-04-23,16.549999,16.889999,16.25,16.73,14.274153,27300,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,1.1575044006236102,,
2021-04-26,16.700001,16.73,16.290001,16.610001,14.171766,27500,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,0.029079154951761055,,
2021-04-27,16.73,17.360001,16.43,17.33,14.786077,56100,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,3.7885473721561036,,
2021-04-28,17.120001,17.129999,16.65,16.940001,14.453326,48300,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,1.0425899125453553,,
2021-04-29,17.389999,18.469999,17.049999,18.290001,15.605153,63500,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,7.419713017036722,,
2021-04-30,17.82,18.34,17.780001,18.09,15.434513,74800,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,6.470572937847829,,
2021-05-03,18.219999,18.549999,18.09,18.379999,15.681939,44900,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,7.131968137435374,,
2021-05-04,18.360001,19.540001,18.290001,19.379999,16.535147,41500,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,12.736925088302264,,
2021-05-05,19.25,19.709999,19.25,19.66,16.774046,33000,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,13.210910757786976,,
2021-05-06,19.67,19.83,19.33,19.709999,16.816708,26700,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,11.917455699167846,,
2021-05-07,19.58,19.9,19.41,19.809999,16.902025,32600,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,11.063771273154721,,
2021-05-10,19.780001,20.450001,19.67,20.15,17.19212,35900,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,13.395634811640944,,
2021-05-11,20.15,20.52,19.91,20.34,17.354231,36600,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,14.447546929402622,,
2021-05-12,20.42,21.129999,20.42,20.790001,17.738173,37000,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,17.80045338889591,,
2021-05-13,20.469999,20.92,19.98,20.209999,17.243311,69100,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,11.906044716477627,,
2021-05-14,20.120001,20.68,20.040001,20.5,17.49074,32000,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,10.696928020745622,,
2021-05-17,20.49,20.49,20.040001,20.34,17.354231,18100,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,9.051884246982489,,
2021-05-18,20.34,21.0,20.049999,20.76,17.712576,30500,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,11.041286610944944,,
2021-05-19,20.51,20.870001,20.4,20.67,17.635788,21000,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,9.728177120400282,,
2021-05-20,20.639999,20.639999,20.190001,20.360001,17.371292,27300,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,5.915025999350432,,
